IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,507.05,432.69,633.36,44.03,52.51
매출원가,444.81,375.88,515.11,64.95,62.98
매출총이익,62.24,56.81,118.24,-20.91,-10.47
판매비와관리비,91.34,91.40,112.12,25.36,28.14
인건비,30.41,34.59,38.29,10.21,9.28
유무형자산상각비,3.96,4.12,4.37,1.13,1.09
연구개발비,28.38,21.66,25.83,5.54,7.81
광고선전비,0.06,0.03,0.07,0.33,0.01
판매비,-1.40,0.20,2.04,-0.55,0.74
관리비,21.14,19.94,31.48,6.09,6.76
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,8.80,10.85,10.05,2.61,2.44
영업이익,-29.10,-34.59,6.12,-46.27,-38.60
영업이익(발표기준),-29.10,-34.59,6.12,-46.27,-38.60
금융수익,0.32,0.53,0.81,0.20,0.34
이자수익,0.26,0.50,0.66,0.20,0.33
배당금수익,0.0,0.02,0.00,0.0,0.00
외환이익,0.05,0.01,0.15,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,2.38,3.82,4.85,1.15,1.08
이자비용,2.38,3.82,4.85,1.15,1.08
외환손실,0.0,0.0,0.00,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.41,0.89,1.45,0.29,0.41
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.21,0.01,0.03,0.0,0.03
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.08,0.26,0.34,0.09,0.08
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.09
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.13,0.62,1.08,0.20,0.21
기타비용,0.48,0.41,5.43,0.00,0.09
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.06,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.30,0.03,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.19,0.32,5.43,0.00,0.09
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-30.23,-37.40,-1.90,-46.93,-39.02
법인세비용,1.70,0.02,-12.73,0.0,-0.08
계속영업이익,-31.93,-37.42,10.83,-46.93,-38.95
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-31.93,-37.42,10.83,-46.93,-38.95
