IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,211.00,174.50,130.20,30.27,39.37
매출원가,157.42,168.13,95.29,20.04,28.19
매출총이익,53.58,6.37,34.91,10.23,11.18
판매비와관리비,213.97,91.24,99.83,21.04,26.55
인건비,43.48,35.97,35.24,8.93,8.77
유무형자산상각비,7.86,3.98,6.42,1.60,1.37
연구개발비,0.0,16.91,20.21,3.75,5.65
광고선전비,0.28,0.08,0.55,0.0,0.01
판매비,116.65,7.87,8.63,0.58,3.32
관리비,45.68,26.42,28.75,6.18,7.42
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.03,0.02,0.03,-0.01,0.00
영업이익,-160.39,-84.87,-64.92,-10.81,-15.37
영업이익(발표기준),-160.39,-84.87,-64.92,-10.81,-15.37
금융수익,5.45,9.49,269.59,2.18,1.55
이자수익,4.60,1.61,1.95,0.0,0.0
배당금수익,0.0,0.01,0.0,0.0,0.0
외환이익,0.00,0.0,2.56,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.13,7.87,8.46,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,256.61,0.0,0.0
기타금융수익,0.71,0.0,0.01,2.18,1.55
금융원가,8.83,4.98,184.82,41.67,1.05
이자비용,8.24,3.82,23.21,0.0,0.0
외환손실,0.07,0.43,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.32,0.0,24.76,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.20,0.73,136.85,41.67,1.05
기타수익,34.80,5.41,15.78,21.23,0.80
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,8.82,3.62,2.92,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.18,0.79,0.04,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,2.60,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,24.80,1.00,10.22,21.23,0.80
기타비용,54.54,27.57,166.56,8.68,16.26
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,1.16,1.44,0.80,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.59,0.07,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,2.15,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,47.91,23.56,16.84,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,4.89,0.35,148.92,8.68,16.26
"종속기업,공동지배기업및관계기업관련손익",-0.63,-36.52,-40.87,-22.80,-1.37
지분법손익,0.0,0.0,0.0,-22.80,-1.37
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-0.63,-36.52,-40.87,0.0,0.0
세전계속사업이익,-184.13,-139.03,-171.79,-60.54,-31.69
법인세비용,9.28,0.01,0.13,0.13,0.11
계속영업이익,-193.41,-139.04,-171.92,-60.67,-31.81
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-193.41,-139.04,-171.92,-60.67,-31.81
지배주주순이익,-193.41,-139.04,-171.92,-60.67,-31.81
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
