GAAP(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,309.03,276.38,250.96,0.0,0.0
매출원가,239.71,224.44,202.71,0.0,0.0
매출총이익,69.32,51.94,48.25,0.0,0.0
판매비와관리비,40.98,46.32,46.09,0.0,0.0
인건비,20.35,27.84,28.37,0.0,0.0
유무형자산상각비,0.60,0.62,0.67,0.0,0.0
연구개발비,2.30,3.64,2.90,0.0,0.0
광고선전비,0.77,1.35,1.38,0.0,0.0
판매비,6.69,2.36,2.72,0.0,0.0
관리비,10.27,10.52,10.04,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,28.34,5.61,2.16,0.0,0.0
영업이익(발표기준),28.34,5.61,2.16,0.0,0.0
금융수익,0.06,0.54,0.15,0.0,0.0
이자수익,0.06,0.24,0.15,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.29,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,11.95,11.03,18.07,0.0,0.0
이자비용,11.33,9.82,8.92,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.62,1.21,1.48,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,7.67,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,41.15,27.95,47.52,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,24.89,9.01,23.51,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.01,0.03,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.12,0.0,0.00,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,14.93,14.82,23.75,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.20,4.11,0.25,0.0,0.0
기타비용,15.47,7.42,9.51,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,14.86,6.68,4.12,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.14,0.00,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.17,5.34,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.47,0.57,0.05,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,-6.15,0.0,0.0,0.0
지분법손익,0.0,-6.15,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,42.13,9.50,22.25,0.0,0.0
법인세비용,4.77,0.0,0.0,0.0,0.0
계속영업이익,37.36,9.50,22.25,0.0,0.0
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,37.36,9.50,22.25,0.0,0.0
