IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,511.82,213.99,185.33,23.57,18.84
매출원가,400.86,180.70,162.87,23.78,17.04
매출총이익,110.96,33.29,22.46,-0.20,1.80
판매비와관리비,81.13,76.70,99.68,20.19,19.77
인건비,43.32,44.70,49.05,11.86,10.27
유무형자산상각비,6.80,7.59,8.67,2.44,1.96
연구개발비,5.42,5.32,9.13,0.42,1.15
광고선전비,0.02,0.08,0.74,0.04,0.11
판매비,0.42,0.22,1.42,0.38,0.25
관리비,18.83,18.29,29.35,4.91,5.87
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,6.33,0.49,1.32,0.15,0.16
영업이익,29.83,-43.41,-77.22,-20.39,-17.97
영업이익(발표기준),29.83,-43.41,-77.22,-20.39,-17.97
금융수익,14.38,14.36,5.10,1.02,0.59
이자수익,0.43,1.04,4.84,0.64,0.33
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.29,0.27,0.26,0.38,0.26
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,13.66,13.04,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,25.61,21.49,8.51,1.64,3.77
이자비용,25.61,21.49,8.05,1.64,3.77
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.46,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,3.75,4.86,3.62,0.38,0.32
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.41,4.14,3.46,0.37,0.31
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.03,0.0,0.14,0.0,0.00
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.13,0.0,0.0,0.0
기타,1.32,0.59,0.02,0.01,0.00
기타비용,12.37,1.28,1.60,0.72,0.16
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,12.03,0.94,0.45,0.62,0.09
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.27,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.34,0.06,1.15,0.11,0.07
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,9.98,-46.95,-78.61,-21.36,-20.99
법인세비용,-5.25,-9.07,-0.04,0.0,0.0
계속영업이익,15.23,-37.88,-78.56,-21.36,-20.99
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,15.23,-37.88,-78.56,-21.36,-20.99
지배주주순이익,15.23,-37.88,-78.56,-21.36,-20.99
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
