IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,354.27,301.29,238.33,54.41,50.22
매출원가,214.55,205.75,181.37,48.17,39.20
매출총이익,139.72,95.53,56.96,6.25,11.02
판매비와관리비,76.12,82.48,108.13,28.31,26.08
인건비,16.86,18.71,20.48,4.94,6.32
유무형자산상각비,4.32,4.45,5.36,1.28,1.32
연구개발비,40.06,44.88,69.60,18.56,15.02
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.05,0.82,1.07,0.44,-0.22
관리비,13.49,11.47,10.52,2.63,3.31
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.34,2.15,1.10,0.47,0.32
영업이익,63.60,13.05,-51.17,-22.07,-15.06
영업이익(발표기준),63.60,13.05,-51.17,-22.07,-15.06
금융수익,0.50,3.67,4.05,0.76,1.28
이자수익,0.50,3.67,4.05,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.76,1.28
금융원가,3.70,5.62,10.93,0.82,1.07
이자비용,3.70,4.27,3.77,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,1.35,7.16,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.82,1.07
기타수익,9.90,0.72,0.23,0.12,0.19
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.00,0.0,0.01,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,9.04,0.00,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.61,0.05,0.05,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.25,0.67,0.17,0.12,0.19
기타비용,0.69,0.42,0.96,0.10,0.10
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.56,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.00,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.13,0.42,0.96,0.10,0.10
"종속기업,공동지배기업및관계기업관련손익",0.25,1.39,0.02,-0.14,-0.12
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.25,1.39,0.02,-0.14,-0.12
세전계속사업이익,69.87,12.79,-58.76,-22.24,-14.87
법인세비용,7.49,-7.23,-19.00,-4.84,-0.07
계속영업이익,62.37,20.02,-39.76,-17.40,-14.80
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,62.37,20.02,-39.76,-17.40,-14.80
