IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,7.43,11.03,8.91,1.29,1.21
매출원가,1.85,1.68,2.18,0.49,0.56
매출총이익,5.58,9.35,6.73,0.80,0.65
판매비와관리비,199.44,180.23,224.71,46.90,50.93
인건비,67.43,52.79,52.54,10.49,13.41
유무형자산상각비,4.55,6.88,8.70,2.20,2.07
연구개발비,62.96,67.47,68.39,12.99,16.37
광고선전비,0.06,0.39,0.18,0.02,0.0
판매비,0.54,0.51,0.17,0.01,0.05
관리비,63.90,52.18,94.73,21.19,19.03
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-193.86,-170.88,-217.98,-46.10,-50.28
영업이익(발표기준),-193.86,-170.88,-217.98,-46.10,-50.28
금융수익,12.32,20.73,304.72,3.93,6.91
이자수익,12.32,20.73,24.05,3.93,6.91
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,280.66,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.28,273.54,25.82,3.17,6.56
이자비용,0.28,4.28,25.82,3.17,6.56
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,269.25,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.63,2.07,2.78,1.04,0.69
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.48,0.59,1.00,0.38,0.27
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.12,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.02,0.94,1.70,0.43,0.43
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.02,0.00,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.14,0.42,0.05,0.23,0.00
기타비용,1.33,1.57,1.38,0.14,0.33
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,1.33,0.31,1.37,0.07,0.11
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.29,0.0,0.07,0.11
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.00,0.89,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.02,0.0,0.0,0.10
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.05,0.01,0.00,0.00
"종속기업,공동지배기업및관계기업관련손익",-0.26,-0.21,0.0,0.0,0.0
지분법손익,-0.26,-0.21,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-181.77,-423.40,62.32,-44.43,-49.57
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-181.77,-423.40,62.32,-44.43,-49.57
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-181.77,-423.40,62.32,-44.43,-49.57
지배주주순이익,-181.77,-423.40,62.32,-44.43,-49.57
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
