IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"5,759.03","5,795.52","6,156.42","1,367.29","1,602.25"
매출원가,"4,728.87","4,985.47","5,305.83","1,188.16","1,362.84"
매출총이익,"1,030.16",810.05,850.59,179.14,239.41
판매비와관리비,418.92,507.49,604.35,143.33,144.04
인건비,219.08,267.67,329.08,79.92,77.49
유무형자산상각비,39.46,30.51,51.37,14.55,10.28
연구개발비,0.25,4.43,21.22,4.61,4.93
광고선전비,7.05,28.08,34.52,2.99,6.82
판매비,18.30,35.05,18.31,4.86,4.62
관리비,113.46,111.48,119.25,30.68,30.68
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,21.31,30.27,30.59,5.71,9.22
영업이익,611.24,302.56,246.23,35.81,95.37
영업이익(발표기준),611.24,302.56,246.23,35.81,95.37
금융수익,34.27,54.66,43.57,16.55,11.54
이자수익,31.11,48.75,43.02,10.19,10.77
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,1.15,0.73,0.04,0.0,0.0
금융자산평가이익,2.01,0.81,0.51,1.21,0.77
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,4.37,0.0,5.15,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,73.44,98.00,119.86,19.79,29.54
이자비용,31.86,73.84,89.69,19.79,22.54
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,5.01,0.0,0.00,0.0,0.0
금융자산평가손실,36.58,24.16,20.80,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,9.36,0.0,7.00
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,15.44,41.33,84.73,6.04,15.05
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,4.02,13.95,25.23,0.01,0.01
외환이익,6.47,6.88,21.02,1.59,11.31
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.64,10.68,25.63,3.53,1.83
자산평가이익,0.0,0.63,2.16,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.05,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.31,9.15,10.68,0.91,1.91
기타비용,21.34,34.41,23.45,15.35,1.06
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,6.54,13.38,7.20,8.90,0.66
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.28,1.59,0.23,0.00,0.03
자산평가손실,0.0,3.04,3.00,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.03,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,14.52,16.37,13.02,6.45,0.37
"종속기업,공동지배기업및관계기업관련손익",-7.79,-6.28,2.60,0.79,0.61
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-7.79,-6.28,2.60,0.79,0.61
세전계속사업이익,558.37,259.86,233.83,24.03,91.96
법인세비용,154.59,72.50,61.78,9.62,25.63
계속영업이익,403.78,187.36,172.05,14.41,66.33
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,403.78,187.36,172.05,14.41,66.33
지배주주순이익,405.13,197.10,180.53,14.14,67.93
비지배주주순이익,-1.35,-9.74,-8.47,0.27,-1.61
