IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,727.03,751.11,748.14,158.23,163.03
매출원가,453.00,431.48,467.69,91.64,94.85
매출총이익,274.03,319.63,280.45,66.58,68.18
판매비와관리비,255.41,255.98,265.45,73.53,73.00
인건비,109.44,89.22,93.40,28.83,26.49
유무형자산상각비,32.18,28.88,24.30,5.97,6.45
연구개발비,7.71,61.41,77.79,15.86,21.19
광고선전비,15.05,12.74,9.23,4.23,2.66
판매비,0.61,5.74,4.83,4.18,0.83
관리비,59.22,52.97,51.03,12.68,13.98
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,31.20,5.02,4.88,1.78,1.39
영업이익,18.62,63.65,15.00,-6.95,-4.82
영업이익(발표기준),18.62,63.65,15.00,-6.95,-4.82
금융수익,12.85,5.92,7.50,0.81,1.62
이자수익,0.63,1.80,2.08,0.25,0.50
배당금수익,0.66,0.08,0.0,0.0,0.0
외환이익,6.80,3.41,2.72,0.51,0.91
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.49,0.0,0.0,0.0
금융자산평가이익,0.07,0.14,0.18,0.05,0.04
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,4.68,0.0,2.52,0.0,0.17
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,46.38,56.04,50.25,11.75,12.92
이자비용,37.92,52.34,47.60,11.17,12.58
외환손실,3.04,2.30,2.18,0.46,0.23
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,4.14,0.00,0.0,0.0,0.0
금융자산평가손실,1.29,0.50,0.46,0.12,0.12
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.90,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.48,1.19,1.29,0.03,0.08
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.08,0.55,0.30,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.39,0.64,1.00,0.03,0.08
기타비용,1.78,2.67,1.20,0.33,0.17
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.09,0.06,0.09,0.33,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.64,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.05,2.60,1.11,0.0,0.17
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-15.23,12.06,-27.66,-18.19,-16.21
법인세비용,-15.83,-16.86,5.50,0.57,0.0
계속영업이익,0.60,28.92,-33.16,-18.76,-16.21
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,0.60,28.92,-33.16,-18.76,-16.21
지배주주순이익,2.81,26.34,-44.33,-20.54,-15.49
비지배주주순이익,-2.22,2.59,11.16,1.78,-0.72
