IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,25.07,12.74,7.60,4.39,2.04
매출원가,17.87,12.58,5.37,2.54,0.95
매출총이익,7.20,0.16,2.23,1.85,1.09
판매비와관리비,258.87,312.68,342.88,51.72,66.70
인건비,41.32,36.98,25.40,6.39,5.86
유무형자산상각비,4.97,5.48,5.30,1.60,1.35
연구개발비,183.85,236.97,266.85,33.65,49.55
광고선전비,0.19,0.64,2.50,0.94,2.38
판매비,0.06,0.04,0.05,0.01,0.01
관리비,28.49,32.56,42.79,9.13,7.55
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-251.67,-312.52,-340.66,-49.87,-65.61
영업이익(발표기준),-251.67,-312.52,-340.66,-49.87,-65.61
금융수익,53.79,68.73,82.86,0.04,0.67
이자수익,12.28,5.24,1.28,0.04,0.67
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,15.50,0.0,0.0
금융자산평가이익,0.0,12.28,48.98,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,41.50,51.21,17.10,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,7.09,46.89,168.43,54.24,6.71
이자비용,7.09,20.83,32.52,10.61,6.71
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,43.62,0.0
금융자산평가손실,0.0,3.15,30.17,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,22.90,105.74,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,11.62,2.18,1.41,0.44,0.05
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.70,1.26,1.09,0.39,0.05
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.00,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.90,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,9.92,0.02,0.31,0.06,0.00
기타비용,5.90,3.62,8.99,0.76,1.49
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,3.25,3.05,7.20,0.71,1.37
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.08,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,2.50,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.98,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.15,0.49,0.81,0.05,0.12
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-199.25,-292.11,-433.81,-104.38,-73.10
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-199.25,-292.11,-433.81,-104.38,-73.10
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-199.25,-292.11,-433.81,-104.38,-73.10
지배주주순이익,-199.25,-292.11,-433.81,-104.38,-73.10
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
