IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,373.97,271.97,410.87,103.29,48.29
매출원가,294.65,218.11,338.73,81.77,38.70
매출총이익,79.32,53.86,72.13,21.52,9.58
판매비와관리비,64.65,60.96,65.76,18.45,15.05
인건비,22.77,23.23,24.63,6.33,6.24
유무형자산상각비,5.89,4.40,4.33,1.03,1.13
연구개발비,14.60,23.45,17.40,4.43,5.42
광고선전비,0.55,0.58,0.60,0.28,0.38
판매비,7.43,-3.06,0.99,0.30,-3.76
관리비,13.42,12.36,17.82,6.08,5.63
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,14.67,-7.10,6.38,3.07,-5.47
영업이익(발표기준),14.67,-7.10,6.38,3.07,-5.47
금융수익,4.84,20.68,6.18,0.76,1.64
이자수익,0.63,1.17,0.57,0.46,0.29
배당금수익,0.01,0.01,0.01,0.0,0.0
외환이익,2.07,0.94,5.50,0.19,1.31
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.01,0.0,0.0,0.0
금융자산평가이익,0.01,0.23,0.10,0.12,0.04
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,2.12,18.31,0.0,0.0,0.0
금융원가,21.53,17.85,11.81,2.99,2.55
이자비용,8.88,11.88,11.10,2.27,2.49
외환손실,0.15,1.43,0.55,0.72,0.06
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.01,0.0,0.0,0.0
금융자산처분손실,0.08,0.02,0.0,0.0,0.0
금융자산평가손실,1.19,4.50,0.17,0.0,0.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,11.22,0.0,0.0,0.0,0.0
기타수익,5.44,1.23,2.96,0.13,0.04
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.84,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.06,0.03,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,2.34,0.57,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.26,0.66,2.90,0.10,0.04
기타비용,2.33,7.40,0.15,0.01,0.07
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.24,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.35,0.00,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.73,7.40,0.15,0.01,0.07
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,1.10,-10.44,3.56,0.96,-6.41
법인세비용,2.98,-9.15,-2.02,-0.70,-0.08
계속영업이익,-1.87,-1.29,5.58,1.67,-6.33
중단영업이익,-55.50,0.0,0.0,0.0,0.0
당기순이익,-57.37,-1.29,5.58,1.67,-6.33
지배주주순이익,-57.37,-1.29,5.58,1.67,-6.33
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
