IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,267.45","1,510.92","1,769.96",489.37,417.91
매출원가,659.87,749.13,895.67,261.56,207.72
매출총이익,607.58,761.79,874.29,227.82,210.19
판매비와관리비,680.16,665.62,753.27,191.32,187.17
인건비,130.03,120.42,125.69,33.25,34.43
유무형자산상각비,52.57,44.57,40.96,9.98,10.74
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,66.99,50.65,84.35,19.26,18.56
판매비,83.47,77.52,92.97,23.03,21.12
관리비,272.30,300.38,339.25,87.27,85.01
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,74.80,72.07,70.04,18.52,17.31
영업이익,-72.58,96.17,121.02,36.50,23.02
영업이익(발표기준),-72.58,96.17,121.02,36.50,23.02
금융수익,26.83,22.57,44.38,3.36,6.34
이자수익,3.48,5.34,7.46,1.77,1.72
배당금수익,1.26,0.0,0.0,0.0,0.0
외환이익,10.63,4.01,16.87,1.34,4.30
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,11.21,13.21,15.57,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.25,0.0,4.47,0.25,0.32
금융원가,36.30,66.46,34.38,7.37,8.66
이자비용,24.67,37.12,29.57,6.43,8.10
외환손실,6.98,3.02,3.91,0.86,0.56
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,2.03,17.27,0.90,0.08,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,2.61,9.05,0.0,0.0,0.0
기타수익,130.98,19.22,1.69,0.74,0.10
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.47,0.27,0.28,0.00,0.01
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.04,0.24,0.23,0.04,0.04
대손충당금환입,0.0,0.0,0.53,0.57,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,130.47,18.71,0.65,0.13,0.05
기타비용,78.15,23.24,10.46,9.99,2.14
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.09,0.91,1.23,0.31,0.61
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.05,16.50,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,10.43,0.01,0.0,7.17,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,66.58,5.83,9.23,2.51,1.53
"종속기업,공동지배기업및관계기업관련손익",-0.25,-2.71,8.03,-1.34,1.40
지분법손익,-0.25,-2.71,8.03,-1.34,-0.97
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,2.37
세전계속사업이익,-29.46,45.53,130.29,21.90,20.07
법인세비용,-5.68,15.65,-35.59,4.44,3.73
계속영업이익,-23.79,29.88,165.88,17.46,16.33
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-23.79,29.88,165.88,17.46,16.33
지배주주순이익,-0.82,37.03,163.67,20.72,15.48
비지배주주순이익,-22.97,-7.15,2.22,-3.26,0.86
