IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,512.33,486.49,446.76,92.67,102.06
매출원가,207.65,202.72,189.05,39.27,41.13
매출총이익,304.67,283.76,257.71,53.40,60.93
판매비와관리비,254.80,254.29,246.00,55.63,57.40
인건비,51.12,48.64,45.19,11.42,10.59
유무형자산상각비,14.91,15.09,17.93,5.00,3.95
연구개발비,0.45,0.37,0.38,0.0,0.14
광고선전비,10.51,9.92,7.15,1.31,1.89
판매비,65.97,68.13,70.57,16.40,16.40
관리비,111.59,111.84,104.69,21.50,24.35
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.24,0.30,0.09,0.0,0.07
영업이익,49.88,29.47,11.71,-2.23,3.53
영업이익(발표기준),49.88,29.47,11.71,-2.23,3.53
금융수익,5.89,5.24,3.79,0.60,1.24
이자수익,3.08,4.61,3.22,0.51,1.12
배당금수익,0.30,0.41,0.31,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,1.11,0.22,0.16,0.0,0.12
금융자산평가이익,1.40,0.00,0.09,0.09,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,2.19,0.65,4.42,1.40,0.46
이자비용,0.42,0.46,2.09,0.61,0.46
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.25,0.09,0.01,0.0,0.0
금융자산평가손실,1.52,0.09,2.32,0.79,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,4.26,1.33,0.73,0.18,0.31
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.58,0.26,0.35,0.05,0.05
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.06,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.68,1.00,0.38,0.13,0.26
기타비용,8.79,4.88,11.10,0.98,0.40
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.70,0.42,1.03,0.02,0.28
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.25,0.40,1.33,0.53,0.09
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,6.36,0.0,8.47,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,3.60,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.48,0.46,0.27,0.43,0.03
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,49.04,30.52,0.71,-3.83,4.22
법인세비용,7.50,5.73,6.47,0.80,1.70
계속영업이익,41.54,24.79,-5.76,-4.62,2.52
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,41.54,24.79,-5.76,-4.62,2.52
지배주주순이익,39.15,24.29,-5.07,-4.47,2.66
비지배주주순이익,2.40,0.50,-0.69,-0.15,-0.14
