IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,7.61,31.84,109.11,55.93,7.93
매출원가,5.66,23.38,80.81,42.04,6.57
매출총이익,1.95,8.46,28.29,13.90,1.35
판매비와관리비,116.93,126.38,134.95,37.56,34.83
인건비,54.93,52.26,49.13,14.27,14.61
유무형자산상각비,7.95,11.79,14.03,5.00,2.72
연구개발비,31.98,31.17,28.40,5.19,8.46
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.0,0.0,0.0,0.0,0.0
관리비,18.86,23.64,28.70,7.66,7.57
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,3.20,7.51,14.70,5.44,1.47
영업이익,-114.97,-117.92,-106.66,-23.66,-33.48
영업이익(발표기준),-114.97,-117.92,-106.66,-23.66,-33.48
금융수익,19.84,37.52,26.94,3.31,9.24
이자수익,5.22,2.17,16.35,3.08,4.10
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,8.97,1.39,7.36,0.11,1.77
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,1.36,2.42,1.43,0.0,0.0
금융자산평가이익,0.18,0.0,0.0,0.0,0.23
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,2.15,21.85,0.63,0.0,0.0
기타금융수익,1.97,9.69,1.17,0.13,3.14
금융원가,91.79,48.97,64.77,5.73,5.09
이자비용,39.25,30.37,20.92,5.55,5.03
외환손실,7.01,0.14,0.04,0.18,0.06
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.70,0.0,0.0,0.0
금융자산평가손실,0.15,15.83,30.39,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,45.38,1.92,13.43,0.0,0.0
기타금융원가,0.0,0.01,0.0,0.0,0.0
기타수익,0.00,0.23,1.08,2.80,0.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.20,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.03,1.08,2.80,0.00
기타비용,0.00,32.65,35.90,0.00,0.14
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.99,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,31.64,34.86,0.0,0.11
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.02,1.04,0.00,0.04
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-186.92,-161.79,-179.31,-23.28,-29.47
법인세비용,0.80,-4.10,-8.15,1.02,-0.11
계속영업이익,-187.71,-157.70,-171.16,-24.30,-29.36
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-187.71,-157.70,-171.16,-24.30,-29.36
지배주주순이익,-187.71,-157.70,-171.17,-24.31,-29.36
비지배주주순이익,0.0,0.0,0.01,0.01,0.0
