IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,59.52,314.36,301.35,100.23,61.94
매출원가,46.82,243.35,223.52,77.55,46.15
매출총이익,12.71,71.01,77.84,22.68,15.79
판매비와관리비,84.60,57.61,67.96,19.24,12.97
인건비,26.74,36.28,44.27,12.26,8.40
유무형자산상각비,5.72,3.24,5.71,1.45,0.87
연구개발비,4.77,0.0,1.95,0.94,0.0
광고선전비,5.01,0.25,0.45,0.30,0.00
판매비,3.50,6.14,-2.00,0.51,1.16
관리비,32.26,11.69,17.57,3.78,2.54
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,6.59,0.0,0.0,0.0,0.0
영업이익,-71.89,13.40,9.88,3.45,2.81
영업이익(발표기준),-71.89,13.40,9.88,3.45,2.81
금융수익,11.04,8.95,5.45,1.42,3.06
이자수익,0.96,0.94,0.78,0.14,0.33
배당금수익,0.0,0.59,0.53,0.0,0.0
외환이익,2.41,1.11,0.70,0.12,0.14
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,1.11,0.55,1.92,0.48,0.0
금융자산평가이익,0.0,5.77,0.58,0.68,2.60
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,6.03,0.0,0.0,0.0,0.0
기타금융수익,0.53,0.0,0.92,0.0,0.0
금융원가,64.48,4.31,16.33,2.39,1.73
이자비용,19.26,0.18,5.19,1.53,0.05
외환손실,0.78,1.02,1.07,0.20,0.15
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.15,0.0,0.0
금융자산평가손실,0.0,3.11,6.51,0.66,1.53
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,44.43,0.0,3.40,0.0,0.0
기타수익,25.13,2.46,1.67,0.36,0.05
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,12.67,0.32,0.25,0.00,0.04
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.00,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,12.46,2.14,1.42,0.36,0.00
기타비용,10.60,0.09,0.36,0.05,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.78,0.02,0.33,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,1.35,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,3.74,0.0,0.01,0.0,0.0
충당부채전입액,0.03,0.0,0.0,0.0,0.0
기타,4.70,0.07,0.02,0.05,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-110.80,20.41,0.31,2.79,4.19
법인세비용,0.0,3.75,1.92,0.0,0.91
계속영업이익,-110.80,16.67,-1.60,2.79,3.28
중단영업이익,0.0,0.0,-0.00,0.0,0.0
당기순이익,-110.80,16.67,-1.61,2.79,3.28
