IFRS(연결),2023/03,2024/03,2024/12,2025/03,전년동기
매출액,124.56,36.89,82.93,9.52,33.16
매출원가,83.75,64.87,78.05,14.99,27.94
매출총이익,40.82,-27.98,4.89,-5.46,5.23
판매비와관리비,46.20,38.97,36.94,6.15,14.25
인건비,13.44,14.99,11.47,4.91,2.86
유무형자산상각비,1.21,1.23,1.09,0.0,0.0
연구개발비,1.05,1.05,0.56,0.08,0.45
광고선전비,0.16,0.04,0.02,0.0,0.0
판매비,19.58,11.93,14.62,1.52,5.46
관리비,10.76,9.74,9.17,3.36,3.38
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,-3.71,2.10
영업이익,-5.38,-66.95,-32.05,-11.61,-9.03
영업이익(발표기준),-5.38,-66.95,-32.05,-11.61,-9.03
금융수익,6.94,4.35,5.63,1.08,2.11
이자수익,2.53,2.11,1.63,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,4.42,2.24,4.01,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.00,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,1.08,2.11
금융원가,2.61,1.00,0.30,0.72,0.47
이자비용,0.09,0.07,0.04,0.0,0.0
외환손실,1.43,0.73,0.25,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,1.09,0.20,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.72,0.47
기타수익,0.06,0.21,0.73,0.43,0.16
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.07,0.06,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.06,0.15,0.68,0.43,0.16
기타비용,0.50,0.07,4.25,0.05,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.06,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.50,0.0,4.25,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.01,0.00,0.05,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-0.09,-11.24,0.0
지분법손익,0.0,0.0,-0.09,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,-11.24,0.0
세전계속사업이익,-1.48,-63.46,-30.32,-22.11,-7.22
법인세비용,-2.70,9.89,0.00,0.0,0.0
계속영업이익,1.22,-73.35,-30.32,-22.11,-7.22
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,1.22,-73.35,-30.32,-22.11,-7.22
지배주주순이익,1.22,-73.35,-30.32,-22.11,-7.22
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
