IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"16,974.52","10,418.96","12,314.21","3,035.97","2,938.67"
매출원가,"12,163.48","10,134.50","11,794.74","2,933.80","2,837.37"
매출총이익,"4,811.04",284.46,519.48,102.18,101.30
판매비와관리비,"1,287.50","1,165.70",989.17,265.41,250.63
인건비,620.95,650.84,551.47,134.13,144.89
유무형자산상각비,25.96,23.87,22.30,6.87,7.01
연구개발비,18.91,15.52,19.48,35.90,4.46
광고선전비,2.67,2.52,1.42,0.0,0.0
판매비,330.96,182.68,99.61,29.06,24.83
관리비,272.71,236.56,207.98,52.23,58.66
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,15.33,53.69,86.90,7.21,10.79
영업이익,"3,523.54",-881.24,-469.69,-163.24,-149.34
영업이익(발표기준),"3,523.54",-881.24,-469.69,-163.24,-149.34
금융수익,691.50,525.74,"1,174.67",237.65,199.84
이자수익,22.46,25.99,241.55,49.23,41.52
배당금수익,0.06,0.06,0.08,0.0,0.0
외환이익,594.53,475.81,600.73,157.38,154.12
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.24,1.14,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,53.76,21.23,313.60,26.17,0.0
기타금융수익,20.43,1.50,18.72,4.87,4.21
금융원가,747.63,618.99,813.55,448.53,258.71
이자비용,80.76,108.48,263.53,87.26,41.27
외환손실,595.16,504.37,443.98,105.75,151.93
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.00,0.62,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,71.71,0.0,87.32,250.65,61.31
기타금융원가,0.0,5.53,18.72,4.87,4.21
기타수익,100.09,174.45,57.46,4.11,29.39
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,31.39,32.20,9.75,0.06,4.49
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,6.48,6.03,4.04,0.83,1.34
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,62.22,136.23,43.67,3.21,23.56
기타비용,104.84,646.87,200.12,36.60,18.64
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,81.04,45.91,46.16,11.72,8.53
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,14.50,0.29,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,23.79,600.96,139.46,24.59,10.11
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"3,462.66","-1,446.91",-251.23,-406.61,-197.46
법인세비용,"1,001.65",-295.47,59.21,-48.61,-45.19
계속영업이익,"2,461.01","-1,151.44",-310.45,-358.00,-152.27
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"2,461.01","-1,151.44",-310.45,-358.00,-152.27
지배주주순이익,"2,458.20","-1,148.60",-303.43,-355.20,-151.55
비지배주주순이익,2.81,-2.84,-7.01,-2.80,-0.72
