IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,307.14","1,354.50","1,424.31",363.23,340.08
매출원가,573.50,576.17,478.14,117.30,113.41
매출총이익,733.64,778.33,946.17,245.92,226.67
판매비와관리비,685.55,666.26,767.33,190.12,156.14
인건비,197.30,201.28,180.94,48.80,44.05
유무형자산상각비,35.52,31.21,41.60,10.03,6.94
연구개발비,51.42,48.02,50.95,11.75,13.22
광고선전비,137.61,133.33,125.67,30.69,25.94
판매비,81.72,106.14,261.63,23.38,20.64
관리비,172.28,137.08,95.60,25.55,38.78
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,9.70,9.20,10.93,39.90,6.56
영업이익,48.09,112.07,178.84,55.81,70.53
영업이익(발표기준),48.09,112.07,178.84,55.81,70.53
금융수익,91.53,144.75,237.67,35.80,75.42
이자수익,55.53,119.56,122.77,27.50,31.27
배당금수익,0.89,1.03,1.20,0.27,0.68
외환이익,34.75,11.83,98.96,3.63,36.38
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,6.87,0.0,0.0
금융자산평가이익,0.36,12.32,7.87,4.40,7.09
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,25.53,29.25,25.95,2.50,5.04
이자비용,2.65,1.34,1.69,0.37,0.45
외환손실,5.87,4.65,5.73,1.79,1.86
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.03,1.81,0.0,0.0
금융자산평가손실,17.00,23.24,16.72,0.34,2.74
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,5.08,17.59,48.70,5.47,9.46
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.01,0.09,0.31,0.00,0.29
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,1.45,1.36,1.74,0.77,0.47
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.54,0.29,0.09,0.0,0.09
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.08,15.85,46.57,4.70,8.60
기타비용,14.80,13.07,31.95,0.84,5.83
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.25,1.35,0.17,0.20,0.10
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.07,0.17,0.27,0.00,0.01
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,13.48,11.55,31.51,0.64,5.72
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,104.36,232.09,407.31,93.73,144.53
법인세비용,71.22,24.56,70.40,20.11,16.18
계속영업이익,33.15,207.53,336.91,73.63,128.35
중단영업이익,0.0,-33.61,-39.59,-10.40,-5.22
당기순이익,33.15,173.92,297.33,63.22,123.13
지배주주순이익,-68.25,33.96,165.13,22.25,86.43
비지배주주순이익,101.40,139.96,132.20,40.98,36.70
