IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,147.10,136.86,72.46,5.62,13.61
매출원가,152.23,149.97,93.28,17.53,20.66
매출총이익,-5.12,-13.12,-20.82,-11.91,-7.05
판매비와관리비,62.82,126.96,44.20,6.33,18.60
인건비,29.20,33.57,18.50,2.64,8.35
유무형자산상각비,2.40,2.56,2.18,0.38,0.69
연구개발비,14.58,61.26,3.81,0.16,0.95
광고선전비,1.26,1.99,0.27,0.0,0.27
판매비,0.13,0.12,0.03,0.00,0.00
관리비,15.25,27.47,19.75,3.14,8.33
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,-0.33,0.0,0.0
영업이익,-67.95,-140.08,-65.02,-18.24,-25.65
영업이익(발표기준),-67.95,-140.08,-65.02,-18.24,-25.65
금융수익,36.62,35.69,1.69,-0.41,0.16
이자수익,1.95,0.75,1.64,0.0,0.0
배당금수익,0.01,0.03,0.04,0.01,0.01
외환이익,0.00,0.03,0.01,0.01,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,23.02,0.0,0.0,0.0
금융자산평가이익,1.46,0.45,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,33.19,8.90,0.0,0.0,0.0
기타금융수익,0.0,2.51,0.0,-0.42,0.15
금융원가,59.71,44.73,25.86,3.74,1.56
이자비용,31.50,13.27,25.85,3.74,1.56
외환손실,0.02,0.05,0.01,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.01,12.28,0.00,0.0,0.0
금융자산평가손실,16.94,13.27,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,2.83,5.86,0.0,0.0,0.0
기타금융원가,8.41,0.0,0.0,0.0,0.0
기타수익,0.83,9.99,3.66,1.14,0.60
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.12,6.44,2.67,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,1.89,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.71,1.66,0.99,1.14,0.60
기타비용,33.15,69.56,-3.53,-21.25,1.46
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.37,1.52,0.00,0.0,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,23.49,62.62,-3.87,-21.49,1.32
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,8.50,5.00,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.79,0.41,0.34,0.24,0.14
"종속기업,공동지배기업및관계기업관련손익",-11.23,-1.18,-1.18,-1.18,-1.18
지분법손익,-11.23,-1.18,-1.18,-1.18,-1.18
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-134.59,-209.87,-83.19,-1.18,-29.08
법인세비용,0.01,0.0,0.02,0.0,0.0
계속영업이익,-134.59,-209.87,-83.21,-1.18,-29.08
중단영업이익,-38.08,0.0,0.0,0.0,0.0
당기순이익,-172.67,-209.87,-83.21,-1.18,-29.08
지배주주순이익,-165.76,-209.90,-83.01,-1.21,-29.09
비지배주주순이익,-6.91,0.04,-0.19,0.03,0.01
