IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,852.68","2,551.82","2,112.41",389.61,339.54
매출원가,"2,103.52","2,058.07","1,527.93",253.45,230.38
매출총이익,749.16,493.76,584.48,136.16,109.16
판매비와관리비,385.07,408.04,478.49,151.22,108.63
인건비,105.96,110.50,150.66,40.05,30.35
유무형자산상각비,12.88,16.71,19.93,7.98,4.56
연구개발비,217.07,231.43,238.90,81.49,57.72
광고선전비,1.53,2.17,3.24,1.55,1.36
판매비,10.35,8.87,7.46,1.54,1.39
관리비,36.67,37.02,56.22,17.76,12.58
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.62,1.34,2.09,0.85,0.67
영업이익,364.09,85.72,106.00,-15.05,0.53
영업이익(발표기준),364.09,85.72,106.00,-15.05,0.53
금융수익,70.35,112.52,194.32,36.98,26.69
이자수익,36.84,61.18,48.19,8.34,11.86
배당금수익,0.83,0.83,0.83,1.01,0.83
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.01,0.0,0.0
금융자산평가이익,19.02,15.74,0.09,1.01,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.56,34.25,145.20,26.63,14.00
기타금융수익,13.10,0.51,0.0,0.0,0.0
금융원가,10.68,38.97,148.28,27.25,18.37
이자비용,10.40,9.10,17.88,6.18,1.92
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.10,11.61,0.28,2.42
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.29,29.77,118.78,20.79,14.02
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,46.98,48.77,57.95,6.98,13.62
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,41.58,45.16,43.94,6.11,12.01
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.89,0.00,0.35,0.20,0.11
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.79,0.87,0.87,0.22,0.24
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.14,0.0,0.0,0.01
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.72,2.60,12.79,0.45,1.25
기타비용,82.69,40.78,41.11,8.29,3.89
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,64.49,38.19,40.31,7.99,3.29
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.02,0.0,0.0,0.19
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,17.71,0.57,0.0,0.20,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.50,2.00,0.80,0.10,0.41
"종속기업,공동지배기업및관계기업관련손익",-2.19,-0.63,-5.53,0.01,0.20
지분법손익,-2.19,-0.63,-5.53,0.01,0.20
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,385.85,166.63,163.34,-6.63,18.78
법인세비용,42.34,37.84,34.08,0.45,6.12
계속영업이익,343.51,128.79,129.26,-7.07,12.67
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,343.51,128.79,129.26,-7.07,12.67
지배주주순이익,261.30,135.29,110.29,-16.36,8.57
비지배주주순이익,82.21,-6.50,18.97,9.29,4.10
