IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,372.17,84.30,12.46,20.39,4.58
매출원가,304.16,115.13,115.56,5.47,9.87
매출총이익,68.02,-30.84,-103.10,14.93,-5.29
판매비와관리비,150.47,130.47,167.99,14.34,40.62
인건비,19.19,17.49,20.26,3.51,4.70
유무형자산상각비,6.15,10.75,9.47,0.0,2.68
연구개발비,35.02,17.24,14.11,4.04,4.62
광고선전비,6.22,1.65,0.97,0.0,0.41
판매비,18.63,41.25,35.46,0.66,15.21
관리비,61.36,39.09,73.00,4.63,12.48
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,3.89,3.01,14.72,1.50,0.52
영업이익,-82.45,-161.31,-271.09,0.59,-45.91
영업이익(발표기준),-82.45,-161.31,-271.09,0.59,-45.91
금융수익,81.44,29.07,5.67,0.21,1.76
이자수익,13.70,6.64,5.67,0.21,1.76
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,65.73,22.42,0.0,0.0,0.0
기타금융수익,2.01,0.0,0.0,0.0,0.0
금융원가,42.20,77.43,12.02,2.48,2.82
이자비용,42.20,24.96,12.02,2.48,2.82
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.10,0.0,0.0,0.0
기타금융원가,0.0,52.37,0.0,0.0,0.0
기타수익,17.09,25.57,23.08,0.63,1.79
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,12.95,5.44,5.17,0.62,1.77
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,2.70,0.33,0.0,0.0,0.00
자산평가이익,0.0,0.85,1.31,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.28,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.15,18.96,16.61,0.01,0.02
기타비용,13.98,7.31,262.80,0.40,0.03
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,13.31,2.49,0.08,0.07,0.02
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,31.01,0.0,0.0
자산처분(폐기)손실,0.0,0.46,0.0,0.0,0.0
자산평가손실,0.0,0.62,21.69,0.0,0.0
자산손상차손,0.0,0.0,64.22,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.58,2.39,1.29,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.10,1.35,144.51,0.33,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,-12.24,-11.29,0.0,-2.88
지분법손익,0.0,-12.24,-11.29,0.0,-2.88
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-40.11,-203.65,-528.45,-1.46,-48.09
법인세비용,0.0,-0.81,-0.01,0.0,0.0
계속영업이익,-40.11,-202.84,-528.44,-1.46,-48.09
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-40.11,-202.84,-528.44,-1.46,-48.09
지배주주순이익,-40.18,-203.18,-523.39,-1.46,-47.96
비지배주주순이익,0.06,0.34,-5.05,0.0,-0.13
