IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,942.44,884.57,306.00,49.06,97.08
매출원가,814.75,786.04,249.59,44.75,80.04
매출총이익,127.69,98.53,56.41,4.31,17.04
판매비와관리비,222.89,192.11,182.70,19.53,55.68
인건비,82.57,68.20,52.28,10.56,16.60
유무형자산상각비,30.59,34.67,29.75,6.09,14.01
연구개발비,45.09,27.02,17.18,3.80,5.19
광고선전비,9.80,5.65,4.71,0.71,0.69
판매비,-1.45,-0.90,30.57,-9.61,5.50
관리비,45.34,42.34,36.29,6.08,11.37
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,10.93,15.12,11.92,1.90,2.32
영업이익,-95.20,-93.59,-126.29,-15.22,-38.64
영업이익(발표기준),-95.20,-93.59,-126.29,-15.22,-38.64
금융수익,37.57,79.72,156.68,2.04,1.23
이자수익,2.48,1.98,1.54,0.12,0.29
배당금수익,0.01,11.93,9.68,0.0,0.0
외환이익,8.32,0.77,4.91,1.92,0.93
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,3.60,0.57,0.28,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,18.51,64.38,140.26,0.0,0.0
기타금융수익,4.65,0.08,0.0,0.0,0.0
금융원가,238.20,203.53,165.89,7.94,26.40
이자비용,102.65,88.95,129.34,7.46,18.29
외환손실,1.53,4.73,0.51,0.47,0.66
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,9.40,22.21,0.0,0.0,0.0
금융자산평가손실,56.65,66.51,28.58,0.01,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,66.81,19.37,0.0,0.0,0.0
기타금융원가,1.16,1.77,7.45,0.0,7.45
기타수익,5.44,14.30,4.25,15.53,0.19
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,5.57,0.07,1.06,0.07
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,5.44,8.73,4.18,14.47,0.12
기타비용,6.41,136.67,314.04,0.51,4.32
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,19.50,0.0,0.0
자산처분(폐기)손실,0.03,2.25,7.98,0.41,4.28
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,130.96,92.90,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,2.00,3.26,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,4.38,0.20,193.67,0.10,0.04
"종속기업,공동지배기업및관계기업관련손익",-1.09,-1.10,-1.11,0.49,-0.47
지분법손익,-1.09,-1.10,-1.11,0.49,-0.47
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-297.89,-340.88,-446.40,-5.60,-68.41
법인세비용,0.76,-10.61,9.63,-0.36,-1.74
계속영업이익,-298.65,-330.27,-456.03,-5.25,-66.68
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-298.65,-330.27,-456.03,-5.25,-66.68
지배주주순이익,-298.65,-330.27,-456.03,-5.25,-66.68
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
