IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,107.52,90.23,83.71,17.55,20.48
매출원가,65.42,59.12,61.02,14.83,14.82
매출총이익,42.10,31.11,22.69,2.72,5.67
판매비와관리비,17.86,20.80,19.81,4.92,4.87
인건비,7.25,7.62,8.01,2.06,1.97
유무형자산상각비,1.28,1.19,1.18,0.30,0.29
연구개발비,5.04,5.34,5.91,1.56,1.33
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.35,1.34,0.78,-0.00,-0.01
관리비,2.93,3.58,2.92,0.75,1.01
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.02,1.74,1.02,0.24,0.29
영업이익,24.24,10.31,2.88,-2.20,0.79
영업이익(발표기준),24.24,10.31,2.88,-2.20,0.79
금융수익,1.23,1.67,2.83,0.59,0.79
이자수익,1.23,1.67,2.83,0.59,0.79
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.01,0.00,0.00,0.0,0.00
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,1.37,1.01,0.86,0.19,0.23
이자비용,1.36,1.01,0.84,0.18,0.23
외환손실,0.01,0.00,0.02,0.00,0.00
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.52,0.06,1.10,0.04,0.08
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.40,0.0,0.0,0.00,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.11,0.06,1.10,0.04,0.08
기타비용,0.01,0.06,2.40,0.27,0.12
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.00,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.06,2.40,0.27,0.12
"종속기업,공동지배기업및관계기업관련손익",-2.36,-0.39,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-2.36,-0.39,0.0,0.0,0.0
세전계속사업이익,22.25,10.57,3.54,-2.01,1.32
법인세비용,-6.01,-3.77,0.18,-0.02,-0.02
계속영업이익,28.26,14.34,3.36,-1.99,1.34
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,28.26,14.34,3.36,-1.99,1.34
