IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
영업수익,272.52,261.66,175.97,31.32,48.24
창업투자및기업구조조정수익,139.73,118.94,99.06,26.02,23.35
이자수익,7.87,12.72,14.76,2.54,3.92
수수료수익,0.0,0.0,0.0,0.0,0.0
금융상품관련이익,112.88,106.86,45.92,2.41,11.14
배당금수익,0.0,0.0,0.04,0.01,0.00
위험회피회계파생상품관련이익,0.0,20.30,0.0,0.0,0.0
외환거래이익,0.0,0.0,0.0,0.0,0.0
기타금융자산관련이익,5.20,0.30,15.47,0.34,9.82
기타영업수익,6.84,2.52,0.72,0.0,0.0
영업비용,156.14,118.65,205.99,22.65,69.53
투자및금융비용,0.0,0.0,0.0,0.0,0.0
이자비용,11.58,6.80,3.17,0.23,1.18
수수료비용,0.0,0.0,0.0,0.0,0.0
금융상품관련손실,36.57,28.56,116.97,6.06,48.07
위험회피회계파생상품관련손실,38.78,0.0,8.77,0.0,0.0
외환거래손실,0.0,0.0,0.0,0.0,0.0
기타금융자산관련손실,0.0,2.97,0.0,0.0,0.0
기타영업비용,0.0,0.0,0.0,0.0,0.0
판매비와관리비,69.20,80.31,77.08,16.35,20.28
영업이익,116.38,143.01,-30.02,8.67,-21.29
영업외수익,1.72,3.10,2.72,0.08,0.05
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환거래이익,0.0,0.0,0.0,0.0,0.0
상각채권추심이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
유가증권처분이익,0.0,0.0,0.0,0.0,0.0
유가증권손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련이익",0.0,0.0,0.0,0.0,0.0
자산처분이익,0.0,0.0,0.0,0.0,0.0
자산재평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
사채상환이익,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
수입수수료,0.0,0.0,0.0,0.0,0.0
임대료,0.0,0.0,0.0,0.0,0.0
자산수증이익,0.0,0.0,0.0,0.0,0.0
보험차익,0.0,0.0,0.0,0.0,0.0
법인세환급액,0.0,0.0,0.0,0.0,0.0
전기오류수정이익,0.0,0.0,0.0,0.0,0.0
퇴직연금운용이익,0.0,0.0,0.0,0.0,0.0
보험수리적이익,0.0,0.0,0.0,0.0,0.0
기타영업외수익,1.72,3.10,2.72,0.08,0.05
영업외비용,12.27,0.08,0.04,0.03,0.04
이자비용,0.0,0.0,0.0,0.0,0.0
외환거래손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
유가증권처분손실,0.0,0.0,0.0,0.0,0.0
유가증권손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련손실",0.0,0.0,0.0,0.0,0.0
자산처분손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
자산재평가손실,0.0,0.0,0.0,0.0,0.0
사채상환손실,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
지급수수료,0.0,0.0,0.0,0.0,0.0
기부금,0.0,0.0,0.0,0.0,0.0
법인세추납액,0.0,0.0,0.0,0.0,0.0
전기오류수정손실,0.0,0.0,0.0,0.0,0.0
퇴직연금운용손실,0.0,0.0,0.0,0.0,0.0
보험수리적손실,0.0,0.0,0.0,0.0,0.0
기타영업외비용,12.27,0.08,0.04,0.03,0.04
세전계속사업이익,105.83,146.03,-27.34,8.72,-21.28
법인세비용,21.10,26.36,-3.12,4.65,2.86
계속영업이익,84.73,119.67,-24.21,4.07,-24.14
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,84.73,119.67,-24.21,4.07,-24.14
지배주주순이익,81.27,103.24,-24.37,4.45,-19.85
비지배주주순이익,3.45,16.43,0.16,-0.38,-4.29
