IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,176.01,195.21,298.37,108.79,71.65
매출원가,159.21,174.05,233.86,79.36,57.75
매출총이익,16.80,21.16,64.51,29.43,13.91
판매비와관리비,48.74,47.27,53.02,16.03,12.45
인건비,23.78,23.99,26.61,7.90,6.11
유무형자산상각비,4.40,4.39,4.44,1.15,1.04
연구개발비,6.90,7.30,8.20,2.37,1.83
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.60,-0.95,-0.34,-0.04,0.00
관리비,6.48,5.35,5.97,2.37,1.52
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,6.58,7.20,8.13,2.29,1.95
영업이익,-31.95,-26.11,11.50,13.40,1.46
영업이익(발표기준),-31.95,-26.11,11.50,13.40,1.46
금융수익,0.03,0.02,0.02,0.01,0.00
이자수익,0.03,0.02,0.02,0.01,0.00
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,7.68,10.76,11.99,3.02,2.61
이자비용,7.68,10.76,11.99,3.02,2.61
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,9.74,2.49,1.05,0.28,0.21
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.52,0.25,0.41,0.01,0.12
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.04,0.0,0.02,0.01
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,8.84,1.78,0.23,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.38,0.42,0.41,0.25,0.08
기타비용,2.65,0.33,0.99,0.06,0.14
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.42,0.14,0.29,0.03,0.00
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.00,0.0,0.0,0.0
자산평가손실,0.52,0.07,0.24,0.0,0.01
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.46,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.24,0.12,0.46,0.03,0.12
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-32.51,-34.69,-0.41,10.61,-1.08
법인세비용,14.06,0.0,0.0,0.0,0.0
계속영업이익,-46.57,-34.69,-0.41,10.61,-1.08
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-46.57,-34.69,-0.41,10.61,-1.08
