IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,158.55,155.92,160.66,43.23,38.00
매출원가,48.59,45.63,48.52,12.38,11.60
매출총이익,109.96,110.29,112.14,30.86,26.40
판매비와관리비,61.16,59.95,63.62,16.46,16.75
인건비,33.67,25.14,27.10,7.29,7.39
유무형자산상각비,1.28,2.43,3.58,1.01,0.78
연구개발비,14.49,14.29,16.99,4.07,2.44
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-0.18,0.40,-0.64,0.08,-0.30
관리비,7.49,12.02,10.96,2.65,2.66
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,4.40,5.67,5.64,1.36,3.77
영업이익,48.81,50.34,48.53,14.40,9.65
영업이익(발표기준),48.81,50.34,48.53,14.40,9.65
금융수익,7.28,23.21,15.96,3.55,3.74
이자수익,5.64,10.98,13.34,3.24,3.06
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.64,0.53,2.62,0.30,0.68
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,11.70,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,1.45,1.79,11.94,0.44,0.17
이자비용,1.09,1.28,0.63,0.17,0.15
외환손실,0.33,0.51,0.24,0.28,0.03
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.04,0.0,11.06,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.23,0.23,0.10,0.13,0.01
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.00,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.23,0.22,0.10,0.13,0.01
기타비용,0.42,0.47,0.36,0.00,0.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.00,0.00,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.42,0.47,0.36,0.0,0.02
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,54.43,71.52,52.28,17.64,13.21
법인세비용,11.08,15.67,7.27,1.34,2.40
계속영업이익,43.35,55.85,45.01,16.30,10.80
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,43.35,55.85,45.01,16.30,10.80
