IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,597.83,817.84,727.32,52.49,181.57
매출원가,461.14,638.32,593.27,42.03,139.72
매출총이익,136.69,179.52,134.05,10.46,41.85
판매비와관리비,136.31,159.75,177.65,46.18,46.48
인건비,49.27,67.46,69.14,16.79,17.33
유무형자산상각비,10.68,14.51,16.20,5.11,3.84
연구개발비,45.74,34.32,39.86,10.85,10.87
광고선전비,0.59,0.57,0.63,0.50,0.05
판매비,7.05,18.16,22.43,4.47,6.62
관리비,22.97,24.69,29.40,8.46,7.77
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.05,0.00,0.0,0.0
영업이익,0.38,19.77,-43.60,-35.72,-4.63
영업이익(발표기준),0.38,19.77,-43.60,-35.72,-4.63
금융수익,44.23,49.86,33.30,2.39,11.12
이자수익,3.20,12.20,7.80,0.65,1.82
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,19.04,7.86,15.15,0.26,4.47
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,1.74,11.86,4.30,1.30,2.42
금융자산평가이익,18.93,2.88,4.74,0.17,0.40
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,1.32,15.07,1.31,0.0,2.01
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,77.17,98.66,27.64,3.45,15.69
이자비용,5.38,26.93,4.23,1.91,0.54
외환손실,8.90,4.85,1.27,0.78,1.96
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.08,0.15,0.05,0.0,0.0
금융자산처분손실,16.78,1.93,0.0,0.0,0.0
금융자산평가손실,21.45,14.88,7.46,0.61,0.23
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,24.57,49.93,13.95,0.15,0.89
기타금융원가,0.0,0.0,0.68,0.0,12.09
기타수익,7.78,2.09,16.51,0.17,3.95
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,4.56,1.44,10.36,0.13,3.85
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.11,0.62,0.0,0.03
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.22,0.54,5.52,0.04,0.07
기타비용,18.02,1.18,36.30,0.20,0.05
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,2.51,0.51,0.06,0.19,0.04
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.02,0.01,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,36.20,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,15.50,0.66,0.04,0.01,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-42.80,-28.13,-57.73,-36.81,-5.30
법인세비용,-2.88,7.23,15.38,-2.05,9.96
계속영업이익,-39.91,-35.36,-73.11,-34.76,-15.26
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-39.91,-35.36,-73.11,-34.76,-15.26
지배주주순이익,-6.56,29.61,-32.13,-22.67,-8.88
비지배주주순이익,-33.35,-64.97,-40.99,-12.09,-6.38
