IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,013.99",71.32,100.97,18.89,19.60
매출원가,575.38,112.87,113.04,17.28,26.62
매출총이익,438.61,-41.55,-12.07,1.61,-7.02
판매비와관리비,188.91,186.03,208.15,41.31,43.96
인건비,73.46,70.55,79.23,15.63,16.27
유무형자산상각비,12.02,17.42,17.79,4.58,4.47
연구개발비,51.56,36.21,46.29,10.84,12.43
광고선전비,13.19,8.19,15.11,4.11,2.32
판매비,13.22,12.56,10.96,-1.83,1.42
관리비,25.23,40.99,38.42,7.97,7.05
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.25,0.12,0.36,0.01,0.01
영업이익,249.71,-227.58,-220.22,-39.70,-50.98
영업이익(발표기준),249.71,-227.58,-220.22,-39.70,-50.98
금융수익,175.80,111.49,47.77,6.47,15.13
이자수익,28.16,36.51,26.73,4.81,6.81
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,87.53,42.89,14.10,1.19,6.05
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,1.01,6.33,5.09,0.15,0.80
금융자산평가이익,1.07,3.00,1.34,0.32,1.24
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,42.52,12.78,0.0,0.0,0.0
기타금융수익,15.53,9.97,0.51,0.0,0.24
금융원가,107.84,58.63,8.36,2.20,4.25
이자비용,21.40,18.23,5.01,0.49,2.16
외환손실,45.83,20.36,0.34,1.35,0.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.29,0.27,0.36,0.0
금융자산평가손실,0.92,2.63,0.98,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,24.01,4.19,0.72,0.0,0.0
기타금융원가,15.67,12.93,1.04,0.0,2.08
기타수익,5.95,1.18,6.28,4.17,0.53
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.05,0.0,4.01,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.55,0.54,0.47,0.04,0.14
로열티수익,0.0,0.0,3.96,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,5.40,0.59,1.85,0.12,0.39
기타비용,0.40,13.68,33.32,0.10,0.32
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.08,1.05,0.01,0.06,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,32.71,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.32,12.63,0.60,0.04,0.32
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,323.22,-187.22,-207.85,-31.36,-39.89
법인세비용,56.45,-13.44,-54.15,0.0,0.0
계속영업이익,266.78,-173.78,-153.70,-31.36,-39.89
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,266.78,-173.78,-153.70,-31.36,-39.89
지배주주순이익,267.17,-172.38,-151.93,-31.09,-39.45
비지배주주순이익,-0.39,-1.40,-1.77,-0.28,-0.45
