IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,223.23,287.08,376.12,48.80,113.35
매출원가,156.51,202.60,272.57,29.58,88.47
매출총이익,66.72,84.49,103.55,19.22,24.88
판매비와관리비,66.85,76.08,91.50,24.06,18.85
인건비,18.51,24.72,29.57,7.21,5.69
유무형자산상각비,7.92,5.33,3.86,0.78,1.31
연구개발비,18.77,18.89,33.63,9.21,7.54
광고선전비,1.68,1.76,1.89,1.33,0.81
판매비,8.22,11.41,7.48,2.03,-1.05
관리비,11.77,13.97,15.07,3.50,4.55
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-0.13,8.41,12.06,-4.83,6.03
영업이익(발표기준),-0.13,8.41,12.06,-4.83,6.03
금융수익,15.88,5.75,9.82,0.56,3.70
이자수익,0.35,1.59,0.38,0.16,0.03
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,3.92,2.40,9.43,0.40,3.65
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,11.60,1.76,0.01,0.0,0.01
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,13.51,54.17,9.92,0.69,5.66
이자비용,6.75,5.71,2.37,0.29,0.81
외환손실,2.49,3.98,0.82,0.40,0.07
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,4.27,44.24,6.73,0.00,4.77
기타금융원가,0.0,0.24,0.0,0.0,0.0
기타수익,0.77,1.13,0.40,0.53,0.02
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.03,0.01,0.07,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.77,1.10,0.39,0.46,0.02
기타비용,0.53,0.70,0.39,0.22,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.06,0.06,0.05,0.16,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.47,0.64,0.34,0.06,0.00
"종속기업,공동지배기업및관계기업관련손익",0.15,0.0,0.0,0.0,0.0
지분법손익,0.15,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,2.62,-39.58,11.96,-4.65,4.08
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,2.62,-39.58,11.96,-4.65,4.08
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,2.62,-39.58,11.96,-4.65,4.08
지배주주순이익,3.63,-38.95,13.18,-4.28,4.46
비지배주주순이익,-1.01,-0.63,-1.22,-0.38,-0.38
