GAAP(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,151.28,94.26,59.06,0.0,0.0
매출원가,92.07,48.20,23.45,0.0,0.0
매출총이익,59.21,46.06,35.61,0.0,0.0
판매비와관리비,51.99,38.76,29.30,0.0,0.0
인건비,13.23,14.36,9.04,0.0,0.0
유무형자산상각비,2.71,2.56,2.35,0.0,0.0
연구개발비,0.75,0.88,0.53,0.0,0.0
광고선전비,0.04,0.0,0.0,0.0,0.0
판매비,0.01,0.02,0.01,0.0,0.0
관리비,35.19,20.90,17.37,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.07,0.03,0.0,0.0,0.0
영업이익,7.22,7.30,6.31,0.0,0.0
영업이익(발표기준),7.22,7.30,6.31,0.0,0.0
금융수익,0.83,4.11,0.99,0.0,0.0
이자수익,0.62,1.21,0.90,0.0,0.0
배당금수익,0.18,0.01,0.09,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.03,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,2.89,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,13.58,2.34,9.84,0.0,0.0
이자비용,1.52,2.34,3.81,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,2.68,0.0,0.0,0.0,0.0
금융자산평가손실,9.37,0.0,6.03,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.85,0.28,2.77,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.82,0.12,2.44,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.02,0.0,0.01,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.17,0.32,0.0,0.0
기타비용,0.08,0.06,0.71,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.01,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.68,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.07,0.06,0.03,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",1.30,-27.62,1.58,0.0,0.0
지분법손익,1.30,-24.09,1.58,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,-3.53,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-3.63,-18.33,1.11,0.0,0.0
법인세비용,-0.87,1.33,-0.00,0.0,0.0
계속영업이익,-2.76,-19.65,1.11,0.0,0.0
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-2.76,-19.65,1.11,0.0,0.0
