IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,591.49,650.70,682.43,163.92,179.27
매출원가,492.49,543.81,596.73,142.07,156.69
매출총이익,99.00,106.90,85.70,21.85,22.58
판매비와관리비,48.27,54.82,50.75,13.35,13.60
인건비,26.33,27.79,28.22,7.32,6.87
유무형자산상각비,1.62,1.41,1.58,0.41,0.39
연구개발비,10.12,9.36,6.72,1.31,2.37
광고선전비,0.42,0.44,0.21,0.34,0.13
판매비,1.60,3.20,4.26,0.81,0.94
관리비,8.17,12.60,9.75,3.17,2.90
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.01,0.00,0.00,0.00
영업이익,50.73,52.08,34.96,8.49,8.98
영업이익(발표기준),50.73,52.08,34.96,8.49,8.98
금융수익,10.03,9.32,7.74,1.07,1.80
이자수익,6.52,8.19,5.28,0.91,1.40
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,3.52,1.13,2.47,0.16,0.40
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,1.60,1.28,0.77,0.71,0.10
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,1.60,1.28,0.77,0.71,0.10
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.87,2.02,3.08,0.48,0.42
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.06,0.01,0.02,0.15,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.81,2.00,3.06,0.33,0.42
기타비용,0.06,0.26,0.17,0.01,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.06,0.25,0.01,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.00,0.16,0.01,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,60.97,61.88,44.83,9.34,11.10
법인세비용,10.31,8.46,8.62,1.36,0.84
계속영업이익,50.65,53.42,36.21,7.97,10.26
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,50.65,53.42,36.21,7.97,10.26
