IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,652.72","3,428.61","6,915.22","2,456.77","1,499.27"
매출원가,"1,125.13","2,277.73","4,586.95","1,680.16",993.32
매출총이익,527.60,"1,150.88","2,328.27",776.60,505.96
판매비와관리비,385.20,672.79,952.52,299.31,211.46
인건비,116.74,153.03,275.58,80.80,47.98
유무형자산상각비,27.07,37.00,57.03,17.44,11.50
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,32.96,70.73,71.14,33.63,15.93
판매비,97.56,110.97,164.28,61.06,29.08
관리비,80.09,249.66,302.73,77.55,89.15
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,30.78,51.39,81.77,28.83,17.84
영업이익,142.39,478.09,"1,375.75",477.29,294.49
영업이익(발표기준),142.39,478.09,"1,375.75",477.29,294.49
금융수익,49.28,46.06,205.88,80.38,38.24
이자수익,7.95,7.20,14.48,4.60,2.39
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,38.19,38.86,177.44,71.86,35.85
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,3.13,0.0,13.96,3.92,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,51.93,53.19,130.80,86.10,12.40
이자비용,2.86,7.11,55.63,16.20,5.30
외환손실,49.07,46.08,75.17,29.91,7.09
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,40.00,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,2.02,2.41,44.74,0.46,0.26
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.29,0.03,38.49,0.01,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.08,1.11,1.80,0.0,0.0
기타,1.65,1.27,4.44,0.45,0.26
기타비용,2.92,7.36,21.83,0.46,0.09
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.23,1.81,0.06,0.00,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.70,5.55,21.78,0.46,0.09
"종속기업,공동지배기업및관계기업관련손익",3.84,15.22,13.34,10.35,-2.53
지분법손익,3.84,15.22,13.34,10.35,-2.53
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,142.67,481.23,"1,487.08",481.92,317.98
법인세비용,31.12,101.10,279.70,94.07,62.62
계속영업이익,111.56,380.13,"1,207.38",387.85,255.36
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,111.56,380.13,"1,207.38",387.85,255.36
지배주주순이익,111.56,380.13,"1,207.38",387.85,255.36
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
