IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,778.43,845.47,973.31,312.03,338.02
매출원가,721.97,786.54,845.26,277.00,316.86
매출총이익,56.46,58.94,128.05,35.02,21.16
판매비와관리비,89.38,103.02,95.87,22.03,22.02
인건비,33.30,37.61,37.26,9.54,10.37
유무형자산상각비,20.79,18.68,10.49,1.04,2.62
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-0.93,15.77,13.01,0.05,0.06
관리비,16.34,14.09,16.58,3.02,5.40
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,19.89,16.88,18.53,8.38,3.56
영업이익,-32.92,-44.09,32.18,12.99,-0.86
영업이익(발표기준),-32.92,-44.09,32.18,12.99,-0.86
금융수익,67.16,13.35,205.75,1.42,5.82
이자수익,1.39,0.86,0.85,0.41,0.22
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,14.99,7.20,18.81,1.01,5.59
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.01,1.12,0.09,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,30.91,0.0,0.0,0.0,0.0
기타금융수익,19.86,4.16,186.00,0.0,0.0
금융원가,86.83,72.85,82.91,4.44,12.02
이자비용,13.59,15.45,13.30,3.11,3.67
외환손실,17.19,7.64,2.88,1.33,1.14
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,17.79,0.0,39.91,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,38.26,49.76,26.82,0.0,7.20
기타수익,13.69,9.93,3.87,1.46,1.19
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.10,0.04,0.0,0.01,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.57,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,12.02,9.89,3.87,1.45,1.19
기타비용,181.42,164.25,107.49,1.89,0.19
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.06,0.01,1.28,0.11,0.01
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,177.86,152.74,97.20,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,3.85,1.78,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.50,11.50,5.16,0.00,0.18
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-220.31,-257.91,51.41,9.54,-6.06
법인세비용,-5.99,20.19,-12.92,0.05,-0.39
계속영업이익,-214.32,-278.11,64.33,9.50,-5.67
중단영업이익,-2.54,-269.36,-8.95,-2.01,0.29
당기순이익,-216.86,-547.47,55.37,7.49,-5.38
지배주주순이익,-177.45,-505.71,74.38,7.22,-3.89
비지배주주순이익,-39.40,-41.76,-19.01,0.27,-1.49
