IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,160.83,179.92,189.52,44.42,50.61
매출원가,78.95,94.18,103.75,19.47,24.58
매출총이익,81.88,85.73,85.77,24.95,26.03
판매비와관리비,99.88,63.83,90.50,27.88,32.34
인건비,19.86,22.31,28.70,6.78,7.34
유무형자산상각비,7.67,8.78,7.59,1.73,2.72
연구개발비,14.73,8.80,11.06,1.93,5.08
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.0,0.0,0.0,0.0,0.0
관리비,50.67,12.43,33.36,11.54,12.76
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,6.96,11.51,9.79,5.90,4.43
영업이익,-18.00,21.90,-4.72,-2.93,-6.30
영업이익(발표기준),-18.00,21.90,-4.72,-2.93,-6.30
금융수익,8.99,209.13,17.67,0.94,10.66
이자수익,7.27,2.98,2.77,0.60,0.34
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.73,0.73,1.08,0.26,0.53
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.27,0.0,0.0,0.0
금융자산평가이익,0.0,125.87,0.31,0.08,0.09
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,37.95,3.27,0.0,0.0
기타금융수익,0.0,41.32,10.24,0.0,9.70
금융원가,47.71,226.44,579.66,3.37,417.65
이자비용,46.76,116.38,54.92,3.18,23.55
외환손실,0.94,0.65,0.53,0.19,0.32
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,17.83,0.0,0.0,1.82
금융자산평가손실,0.0,2.88,461.17,0.0,391.96
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,88.70,59.69,0.0,0.0
기타금융원가,0.0,0.0,3.35,0.0,0.0
기타수익,41.92,17.06,6.89,26.88,2.67
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,21.81,0.08,0.39,0.0,0.0
자산평가이익,2.88,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,9.97,0.0,0.0,0.0,0.0
임대료수익,0.50,4.25,0.44,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,5.77,0.82,1.60,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.00,11.91,4.46,26.88,2.67
기타비용,750.99,168.97,150.23,0.05,82.92
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.36,2.05,0.32,0.0,0.0
자산평가손실,409.63,0.0,0.0,0.0,0.0
자산손상차손,22.63,84.74,0.51,0.0,0.0
파생상품손실,294.70,0.0,0.0,0.0,0.0
기타대손상각비,0.03,0.11,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,23.65,82.07,149.41,0.05,82.92
"종속기업,공동지배기업및관계기업관련손익",-146.94,-117.81,0.0,0.0,0.0
지분법손익,-146.94,-117.81,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-912.72,-265.13,-710.06,21.46,-493.55
법인세비용,2.19,-26.87,10.27,0.01,0.01
계속영업이익,-914.91,-238.26,-720.32,21.46,-493.56
중단영업이익,-6.16,0.0,0.0,0.0,0.0
당기순이익,-921.07,-238.26,-720.32,21.46,-493.56
지배주주순이익,-915.91,-238.26,-720.32,21.46,-493.56
비지배주주순이익,-1.26,0.0,0.0,0.0,0.0
