IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"18,540.16","19,105.76","27,097.74","8,741.84","6,659.09"
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,"18,540.16","19,105.76","27,097.74","8,741.84","6,659.09"
판매비와관리비,"11,024.10","11,425.31","15,272.86","4,169.08","3,554.08"
인건비,"3,012.58","4,549.43","6,191.83","1,663.31","1,635.58"
유무형자산상각비,"1,046.19","1,080.16","1,064.40",298.60,258.68
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,"1,296.53",660.51,"1,014.37",229.08,124.10
판매비,32.72,-32.83,-0.82,5.28,-2.76
관리비,"3,445.78","2,748.09","3,352.73",889.15,647.01
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,"2,190.30","2,419.95","3,650.36","1,083.66",891.47
영업이익,"7,516.07","7,680.46","11,824.88","4,572.76","3,105.01"
영업이익(발표기준),"7,516.07","7,680.46","11,824.88","4,572.76","3,105.01"
금융수익,337.21,375.38,325.34,62.56,89.41
이자수익,337.21,375.38,325.34,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.00,0.0,0.00,62.56,89.41
금융원가,75.99,89.32,94.58,26.24,22.80
이자비용,75.77,89.10,94.58,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.22,0.22,0.0,26.24,22.80
기타수익,"2,829.03","4,829.70","6,970.83","1,219.92","1,806.68"
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,3.50,4.56,1.41,0.0,0.0
외환이익,"1,966.04",707.43,"1,582.57",0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,431.85,254.89,"1,950.00",0.0,0.0
자산처분(폐기)이익,292.05,"2,235.17","3,085.32",0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,5.55,32.73,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.18,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,135.58,"1,622.10",318.61,"1,219.92","1,806.68"
기타비용,"3,414.50","4,068.42","1,320.90",785.25,214.81
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,568.47,528.88,348.76,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,534.27,281.75,119.96,0.0,0.0
자산처분(폐기)손실,676.57,627.12,408.62,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,"1,491.81","2,525.33",113.22,0.0,0.0
파생상품손실,7.86,1.69,0.0,0.0,0.0
기타대손상각비,-0.11,1.23,5.66,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,135.64,102.41,324.68,785.25,214.81
"종속기업,공동지배기업및관계기업관련손익",-353.04,-441.64,-478.78,-54.97,-110.47
지분법손익,-353.04,-441.64,-478.78,-54.97,-110.47
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"6,838.77","8,286.15","17,226.78","4,988.78","4,653.01"
법인세비용,"1,687.02","2,345.55","4,200.86","1,274.18","1,166.78"
계속영업이익,"5,151.75","5,940.60","13,025.93","3,714.60","3,486.24"
중단영업이익,-150.21,0.0,0.0,0.0,0.0
당기순이익,"5,001.54","5,940.60","13,025.93","3,714.60","3,486.24"
지배주주순이익,"5,001.54","5,953.62","13,060.90","3,720.49","3,499.92"
비지배주주순이익,-0.00,-13.01,-34.97,-5.89,-13.68
