IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,677.37","1,871.55","1,904.36",503.80,443.55
매출원가,608.13,769.75,906.40,238.24,203.16
매출총이익,"1,069.24","1,101.79",997.96,265.57,240.39
판매비와관리비,970.60,"1,071.07","1,049.55",255.48,255.77
인건비,53.87,63.50,85.27,19.03,17.16
유무형자산상각비,9.05,10.71,12.25,3.17,2.77
연구개발비,65.32,41.80,45.39,13.70,9.78
광고선전비,2.94,8.91,10.96,3.13,1.76
판매비,815.36,918.67,868.50,209.78,216.03
관리비,22.73,25.64,25.03,6.67,8.27
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.34,1.84,2.15,0.0,0.0
영업이익,98.64,30.73,-51.59,10.08,-15.38
영업이익(발표기준),98.64,30.73,-51.59,10.08,-15.38
금융수익,11.93,33.32,23.27,1.58,3.70
이자수익,5.14,4.35,3.39,0.0,0.0
배당금수익,0.05,0.0,0.0,0.0,0.0
외환이익,2.91,1.87,4.54,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,2.63,1.76,2.40,0.0,0.0
금융자산평가이익,0.46,0.63,0.39,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.74,24.70,11.82,0.0,0.0
기타금융수익,0.0,0.0,0.73,1.58,3.70
금융원가,16.39,24.18,41.44,5.62,6.56
이자비용,9.68,15.87,21.05,0.0,0.0
외환손실,1.50,1.50,2.17,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.06,0.0,0.0,0.0
금융자산평가손실,1.40,0.44,0.39,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,3.80,6.32,17.82,0.0,0.0
기타금융원가,0.0,0.0,0.0,5.62,6.56
기타수익,0.87,0.77,9.03,0.47,0.54
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.46,0.09,4.05,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.18,0.22,0.22,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.24,0.46,4.76,0.47,0.54
기타비용,11.14,5.88,1.02,1.99,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,3.60,0.00,0.12,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,7.54,5.88,0.89,1.99,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,83.91,34.76,-61.74,4.53,-17.71
법인세비용,3.57,4.15,-8.16,0.54,1.03
계속영업이익,80.34,30.61,-53.58,3.99,-18.74
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,80.34,30.61,-53.58,3.99,-18.74
