IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,693.61,889.16,835.99,196.64,183.74
매출원가,474.91,553.19,511.96,114.84,118.53
매출총이익,218.70,335.97,324.03,81.80,65.21
판매비와관리비,370.87,308.57,322.68,78.11,73.32
인건비,163.82,164.71,155.57,38.40,36.13
유무형자산상각비,47.28,38.26,39.68,9.20,9.78
연구개발비,7.46,10.59,12.83,3.02,3.46
광고선전비,21.77,10.26,9.15,2.90,2.41
판매비,30.84,3.96,25.46,1.29,2.26
관리비,98.80,80.78,79.98,23.31,19.27
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.90,0.0,0.01,0.0,0.00
영업이익,-152.17,27.40,1.35,3.69,-8.11
영업이익(발표기준),-152.17,27.40,1.35,3.69,-8.11
금융수익,93.58,87.23,137.16,19.19,32.24
이자수익,7.86,24.67,22.16,0.0,0.0
배당금수익,0.0,0.0,3.60,0.0,0.0
외환이익,54.69,21.86,69.21,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,15.52,24.44,42.20,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,15.51,11.86,0.0,0.0,0.0
기타금융수익,0.0,4.40,0.0,19.19,32.24
금융원가,84.45,68.68,128.78,23.17,25.68
이자비용,7.38,9.44,6.45,0.0,0.0
외환손실,23.73,16.10,13.48,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,34.47,21.93,24.24,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,18.87,21.21,84.61,0.0,0.0
기타금융원가,0.0,0.0,0.0,23.17,25.68
기타수익,12.74,40.61,6.49,5.94,1.18
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.96,0.54,0.37,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,11.78,40.07,6.12,5.94,1.18
기타비용,24.49,14.47,27.87,0.84,0.23
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,18.05,0.01,0.54,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,5.55,4.20,16.79,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.90,10.26,10.54,0.84,0.23
"종속기업,공동지배기업및관계기업관련손익",-35.12,-10.28,-35.18,-2.21,-2.87
지분법손익,0.0,-10.28,-35.18,-2.21,-2.87
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-35.12,0.0,0.0,0.0,0.0
세전계속사업이익,-189.92,61.82,-46.83,2.59,-3.47
법인세비용,-16.65,-0.49,-9.37,4.36,3.40
계속영업이익,-173.27,62.31,-37.46,-1.77,-6.87
중단영업이익,-38.43,0.0,0.0,0.0,0.0
당기순이익,-211.70,62.31,-37.46,-1.77,-6.87
지배주주순이익,-176.54,69.44,-32.68,-0.64,-5.20
비지배주주순이익,-35.16,-7.13,-4.79,-1.12,-1.67
