IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,733.17,882.76,"1,161.39",357.14,238.21
매출원가,559.48,683.96,880.37,280.60,180.98
매출총이익,173.69,198.80,281.02,76.53,57.24
판매비와관리비,64.23,70.01,79.86,22.75,22.10
인건비,15.55,17.99,23.95,7.66,5.66
유무형자산상각비,3.89,4.10,4.95,1.24,1.14
연구개발비,11.12,13.60,17.34,5.04,3.43
광고선전비,0.02,0.11,0.15,0.05,0.13
판매비,5.46,5.06,5.92,1.68,1.30
관리비,28.19,29.14,27.56,7.07,10.44
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,109.46,128.79,201.16,53.79,35.14
영업이익(발표기준),109.46,128.79,201.16,53.79,35.14
금융수익,10.01,21.96,6.63,1.96,0.63
이자수익,10.01,21.67,6.62,1.96,0.63
배당금수익,0.0,0.01,0.0,0.0,0.0
외환이익,0.0,0.0,0.00,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.28,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.77,0.11,0.16,0.05,0.03
이자비용,0.08,0.09,0.13,0.02,0.03
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.01,0.0
금융자산평가손실,0.69,0.02,0.03,0.02,0.01
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.47,1.36,0.13,0.04,0.01
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.33,0.04,0.01,0.01,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.14,1.32,0.12,0.03,0.01
기타비용,0.42,0.53,0.62,0.04,0.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.20,0.15,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.06,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.22,0.31,0.62,0.04,0.02
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,118.74,151.48,207.14,55.70,35.72
법인세비용,20.28,32.75,36.83,11.78,7.37
계속영업이익,98.46,118.73,170.31,43.91,28.35
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,98.46,118.73,170.31,43.91,28.35
