IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,793.93,"2,359.52","2,001.56",681.44,552.16
매출원가,664.72,"1,969.28","1,684.93",570.06,458.52
매출총이익,129.21,390.24,316.63,111.38,93.64
판매비와관리비,154.36,235.10,283.02,71.41,59.86
인건비,62.29,58.42,83.29,21.38,19.14
유무형자산상각비,5.51,5.66,14.49,4.94,2.04
연구개발비,62.65,114.06,127.94,33.16,30.65
광고선전비,0.39,0.24,0.59,0.01,0.02
판매비,0.06,31.44,16.98,1.06,0.05
관리비,23.46,25.28,39.73,10.86,7.96
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.00,0.00,0.0
영업이익,-25.15,155.14,33.61,39.97,33.77
영업이익(발표기준),-25.15,155.14,33.61,39.97,33.77
금융수익,49.30,58.45,148.20,16.06,38.74
이자수익,1.47,0.52,0.38,0.08,0.07
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,38.00,52.83,146.48,14.58,38.66
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,6.19,0.70,0.0,0.77,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,3.64,4.41,1.33,0.63,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,50.38,64.65,168.08,31.88,28.99
이자비용,0.38,6.78,23.77,15.38,5.22
외환손실,43.90,37.62,104.89,15.76,18.30
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.03,0.73,0.27,0.29,0.22
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.38,0.76,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,5.70,18.77,39.15,0.45,5.25
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.06,1.45,9.30,3.50,0.27
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.15,0.22,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,7.72,3.16,0.26
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.06,1.30,1.36,0.35,0.01
기타비용,0.29,7.48,0.71,0.02,0.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.21,0.00,0.0,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,4.04,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,2.87,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.08,0.57,0.71,0.02,0.02
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-25.46,142.90,22.33,27.64,43.76
법인세비용,-8.64,22.22,-5.24,11.14,13.06
계속영업이익,-16.82,120.68,27.57,16.50,30.70
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-16.82,120.68,27.57,16.50,30.70
지배주주순이익,-15.30,124.92,65.36,28.58,32.06
비지배주주순이익,-1.53,-4.23,-37.80,-12.08,-1.36
