IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,2.16,1.32,95.27,20.40,3.16
매출원가,0.0,0.0,89.01,20.45,2.22
매출총이익,2.16,1.32,6.25,-0.05,0.94
판매비와관리비,369.49,299.16,271.34,48.16,65.93
인건비,67.27,62.98,73.77,14.43,15.45
유무형자산상각비,19.24,18.80,21.99,5.22,4.15
연구개발비,246.40,185.04,130.84,20.40,34.97
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.0,0.0,0.0,0.0,-1.20
관리비,30.28,27.12,37.50,6.80,10.04
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,6.30,5.22,7.23,1.30,2.52
영업이익,-367.33,-297.84,-265.08,-48.21,-64.99
영업이익(발표기준),-367.33,-297.84,-265.08,-48.21,-64.99
금융수익,43.82,21.71,10.34,1.69,3.73
이자수익,13.74,19.35,7.99,0.95,3.04
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.04,0.68,0.74,0.05,0.45
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.53,0.0,0.0,0.0,0.0
금융자산평가이익,0.61,0.86,1.61,0.69,0.24
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,2.08,0.0,0.0,0.0,0.0
기타금융수익,25.82,0.82,0.0,0.0,0.0
금융원가,21.25,6.65,5.63,2.18,0.71
이자비용,17.63,4.29,4.59,2.05,0.68
외환손실,2.30,1.89,0.77,0.08,0.03
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,1.32,0.47,0.26,0.05,0.01
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.02,0.0,0.0
기타수익,0.21,0.04,0.43,0.47,0.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.06,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.02,0.03,0.10,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.13,0.01,0.33,0.47,0.00
기타비용,0.15,0.68,35.64,0.00,0.66
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,33.30,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,1.60,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.15,0.68,0.74,0.00,0.66
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-344.70,-283.42,-295.58,-48.23,-62.62
법인세비용,0.0,0.0,-0.59,0.0,0.0
계속영업이익,-344.70,-283.42,-294.99,-48.23,-62.62
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-344.70,-283.42,-294.99,-48.23,-62.62
지배주주순이익,-334.27,-277.18,-291.66,-47.44,-61.75
비지배주주순이익,-10.44,-6.24,-3.32,-0.79,-0.87
