IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,998.91,991.43,747.80,141.99,200.56
매출원가,800.71,811.83,641.85,124.88,177.32
매출총이익,198.20,179.59,105.95,17.12,23.24
판매비와관리비,36.14,38.95,36.93,8.82,8.80
인건비,17.33,18.79,17.49,4.28,4.36
유무형자산상각비,5.03,5.27,5.18,1.28,1.25
연구개발비,3.15,5.49,3.53,0.90,0.86
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,4.07,4.78,5.53,0.99,0.94
관리비,6.57,4.61,5.21,1.36,1.39
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,162.06,140.64,69.02,8.30,14.44
영업이익(발표기준),162.06,140.64,69.02,8.30,14.44
금융수익,10.62,38.75,28.14,3.88,9.26
이자수익,2.66,10.37,14.38,2.64,2.96
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,7.93,8.47,5.86,1.02,2.18
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.02,19.91,7.89,0.21,4.12
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,9.23,32.92,27.98,1.29,8.19
이자비용,1.16,7.00,9.05,0.33,2.00
외환손실,2.48,12.20,18.23,0.94,6.19
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,5.58,13.72,0.71,0.02,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.57,4.30,0.29,0.01,0.05
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.15,0.06,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.42,4.24,0.29,0.01,0.05
기타비용,1.03,2.52,0.08,0.00,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.03,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.03,2.49,0.08,0.00,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,162.98,148.26,69.39,10.90,15.56
법인세비용,37.69,31.12,14.20,2.35,3.44
계속영업이익,125.29,117.14,55.18,8.55,12.12
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,125.29,117.14,55.18,8.55,12.12
