IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,113.45","1,097.04","1,249.72",344.92,307.50
매출원가,"1,027.02",999.42,"1,137.38",313.13,278.64
매출총이익,86.43,97.62,112.34,31.79,28.87
판매비와관리비,78.02,82.17,91.05,22.79,22.52
인건비,38.06,39.16,41.63,10.75,10.37
유무형자산상각비,3.05,5.33,6.59,1.68,1.60
연구개발비,13.67,14.14,15.62,4.01,3.86
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,6.83,6.25,6.87,1.79,1.78
관리비,15.37,16.32,16.92,4.15,4.78
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.03,0.97,3.43,0.41,0.13
영업이익,8.41,15.44,21.28,9.00,6.35
영업이익(발표기준),8.41,15.44,21.28,9.00,6.35
금융수익,13.92,11.18,31.69,2.90,7.75
이자수익,2.41,2.34,3.72,1.24,0.94
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,11.51,8.85,27.97,1.66,6.81
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,15.91,19.79,22.08,4.86,4.87
이자비용,7.21,11.33,11.71,3.02,2.65
외환손실,8.70,8.45,10.37,1.84,2.22
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,71.96,20.55,1.05,1.14,0.27
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.03,0.03,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.16,0.08,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.02,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,71.79,20.44,1.02,1.12,0.27
기타비용,65.50,1.62,1.31,0.22,0.04
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.42,0.77,0.01,0.00,0.0
자산평가손실,0.0,0.29,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.08,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,65.08,0.56,1.21,0.22,0.04
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,12.88,25.78,30.64,7.95,9.46
법인세비용,1.63,3.39,6.59,1.53,1.62
계속영업이익,11.25,22.38,24.05,6.42,7.85
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,11.25,22.38,24.05,6.42,7.85
지배주주순이익,11.25,22.38,24.05,6.42,7.85
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
