IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,125.09,121.58,116.08,23.58,22.29
매출원가,50.28,47.34,47.44,11.17,10.49
매출총이익,74.81,74.24,68.64,12.42,11.80
판매비와관리비,50.95,58.19,71.76,19.70,14.78
인건비,21.69,23.80,30.17,8.09,5.72
유무형자산상각비,3.92,4.73,5.37,1.36,1.14
연구개발비,8.72,10.07,13.66,4.51,2.84
광고선전비,0.24,0.59,0.95,0.49,0.20
판매비,5.16,8.18,7.53,1.22,1.93
관리비,11.21,10.81,14.07,4.04,2.97
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,23.86,16.04,-3.12,-7.28,-2.99
영업이익(발표기준),23.86,16.04,-3.12,-7.28,-2.99
금융수익,4.72,8.05,7.43,1.35,1.94
이자수익,4.66,8.03,7.35,1.35,1.89
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.06,0.02,0.09,0.00,0.05
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.15,0.39,0.31,0.16,0.06
이자비용,0.14,0.32,0.31,0.15,0.06
외환손실,0.01,0.07,0.00,0.01,0.00
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.07,0.15,2.40,0.02,2.12
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.03,0.0,2.10,0.00,2.12
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.04,0.15,0.29,0.01,0.00
기타비용,7.45,0.02,6.41,0.16,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.01,0.00,0.00,0.16,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,5.34,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,1.09,0.0,1.00,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,6.35,0.02,0.07,0.00,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,21.04,23.83,-0.02,-6.23,1.01
법인세비용,2.07,6.66,2.52,-0.97,0.95
계속영업이익,18.97,17.17,-2.54,-5.26,0.07
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,18.97,17.17,-2.54,-5.26,0.07
지배주주순이익,18.97,17.17,-2.52,-5.24,0.07
비지배주주순이익,0.0,0.0,-0.02,-0.02,0.0
