IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,239.70,217.29,182.76,34.01,50.30
매출원가,182.44,155.38,124.87,22.99,32.47
매출총이익,57.26,61.91,57.90,11.03,17.82
판매비와관리비,173.38,166.23,106.17,16.35,28.38
인건비,58.95,51.85,33.69,6.22,10.88
유무형자산상각비,10.85,7.45,5.86,0.21,1.82
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,10.39,29.69,6.03,0.22,0.54
판매비,58.65,42.10,26.66,4.70,6.76
관리비,28.22,29.14,29.47,4.51,6.93
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,6.32,6.00,4.46,0.49,1.44
영업이익,-116.13,-104.32,-48.27,-5.32,-10.55
영업이익(발표기준),-116.13,-104.32,-48.27,-5.32,-10.55
금융수익,5.55,6.28,1.62,0.44,1.94
이자수익,5.05,2.56,1.53,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.15,0.07,0.09,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.35,3.65,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.44,1.94
금융원가,5.74,13.37,11.67,4.82,1.96
이자비용,5.57,8.91,7.76,0.0,0.0
외환손실,0.12,0.07,0.04,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.05,0.0,3.87,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,4.40,0.0,4.82,1.96
기타수익,0.68,0.38,2.72,0.37,0.48
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.08,0.04,1.72,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.31,0.01,0.40,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.03,0.0,0.0
충당부채환입액,0.0,0.08,0.0,0.0,0.0
기타,0.28,0.25,0.57,0.37,0.48
기타비용,132.70,17.75,152.83,0.35,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.12,0.02,0.09,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.08,0.14,2.57,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,132.60,17.31,143.62,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,-0.14,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.04,0.29,6.56,0.35,0.01
"종속기업,공동지배기업및관계기업관련손익",-0.57,-0.56,-0.09,0.0,-0.07
지분법손익,-0.57,-0.56,-0.09,0.0,-0.07
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-248.91,-129.34,-208.52,-9.69,-10.16
법인세비용,-1.26,-0.30,-0.20,0.0,0.0
계속영업이익,-247.64,-129.04,-208.32,-9.69,-10.16
중단영업이익,0.0,5.14,-1.13,0.0,0.0
당기순이익,-247.64,-123.90,-209.45,-9.69,-10.16
지배주주순이익,-246.36,-126.10,-209.48,-9.69,-10.18
비지배주주순이익,-1.28,2.20,0.02,0.0,0.02
