IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,976.98","5,238.09","7,227.54","2,660.33","1,489.28"
매출원가,"1,062.23","1,283.61","1,791.54",651.68,335.94
매출총이익,"2,914.75","3,954.48","5,436.00","2,008.65","1,153.34"
판매비와관리비,"2,522.46","2,912.55","4,208.94","1,462.96",875.69
인건비,276.52,390.94,519.89,158.08,132.61
유무형자산상각비,107.55,136.79,193.10,64.39,43.73
연구개발비,5.53,11.96,35.18,12.94,3.48
광고선전비,"1,156.12","1,114.47","1,418.56",472.43,300.63
판매비,685.83,933.05,"1,592.46",620.33,292.11
관리비,282.57,314.31,428.41,129.32,94.82
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,8.33,11.02,21.35,5.48,8.30
영업이익,392.28,"1,041.94","1,227.06",545.68,277.65
영업이익(발표기준),392.28,"1,041.94","1,227.06",545.68,277.65
금융수익,56.08,90.36,288.66,152.82,43.53
이자수익,2.30,34.87,54.88,11.20,16.64
배당금수익,0.0,0.0,4.18,1.14,0.38
외환이익,51.94,48.19,171.86,102.85,25.13
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,2.22,42.01,2.67,0.0
금융자산평가이익,1.84,4.65,15.73,1.02,1.38
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.43,0.0,33.94,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,54.56,66.01,172.38,111.37,17.20
이자비용,10.36,12.65,37.70,13.42,5.79
외환손실,44.20,53.36,108.80,93.66,11.41
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,25.88,0.0,0.0
기타금융원가,0.0,0.0,0.0,4.28,0.0
기타수익,2.41,4.42,8.29,6.70,3.19
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.51,0.33,6.07,0.54,1.64
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.89,4.09,2.22,6.16,1.55
기타비용,4.17,12.46,18.63,2.05,3.40
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.68,4.43,3.30,0.17,0.52
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,2.81,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,-0.22,0.03,1.95,0.01,1.72
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.71,5.19,13.37,1.87,1.16
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,392.05,"1,058.23","1,333.01",591.79,303.77
법인세비용,102.42,242.77,257.10,92.37,62.84
계속영업이익,289.63,815.46,"1,075.90",499.41,240.93
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,289.63,815.46,"1,075.90",499.41,240.93
지배주주순이익,289.63,815.46,"1,075.90",499.41,240.93
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
