IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,862.77,528.14,581.69,135.78,115.66
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,862.77,528.14,581.69,135.78,115.66
판매비와관리비,798.63,540.90,711.34,161.25,139.26
인건비,153.83,131.58,170.04,38.74,37.39
유무형자산상각비,41.03,34.76,47.03,8.77,9.61
연구개발비,9.78,8.12,8.24,2.80,1.31
광고선전비,2.72,1.52,1.79,0.39,0.43
판매비,19.54,0.01,10.67,-2.90,0.73
관리비,242.85,200.82,292.96,73.21,52.30
기타원가성비용,316.07,170.46,168.45,38.63,36.91
기타,12.80,-6.37,12.17,1.61,0.59
영업이익,64.14,-12.76,-129.65,-25.47,-23.60
영업이익(발표기준),64.14,-12.76,-129.65,-25.47,-23.60
금융수익,24.42,51.03,31.12,2.59,5.93
이자수익,14.01,14.69,18.21,2.52,5.86
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.14,0.33,0.08,0.06,0.02
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,5.06,0.15,0.0,0.0,0.0
금융자산평가이익,5.13,35.72,12.78,0.01,0.03
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.07,0.15,0.05,0.0,0.02
금융원가,77.52,36.40,19.76,2.60,2.24
이자비용,42.46,34.71,8.59,2.62,1.83
외환손실,0.00,0.00,0.04,0.00,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.13,0.0,1.99,0.0,0.0
금융자산평가손실,4.72,1.68,8.96,-0.02,0.40
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,30.20,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.19,0.00,0.01
기타수익,6.48,6.72,8.12,0.99,0.70
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.03,0.03,2.88,0.03,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,3.31,2.68,2.58,0.02,0.66
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.32,0.90,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.83,3.11,2.66,0.94,0.04
기타비용,35.91,0.45,3.39,0.06,1.85
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.26,0.12,1.53,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,9.08,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,11.37,0.0,0.82,-0.01,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,15.21,0.33,1.04,0.07,1.85
"종속기업,공동지배기업및관계기업관련손익",-5.06,-4.89,-1.71,-0.28,1.03
지분법손익,-5.06,-4.89,-1.71,-0.28,1.03
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-23.45,3.26,-115.28,-24.84,-20.03
법인세비용,-14.62,3.80,-18.35,-6.49,1.23
계속영업이익,-8.83,-0.54,-96.93,-18.35,-21.26
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-8.83,-0.54,-96.93,-18.35,-21.26
지배주주순이익,-10.08,-1.64,-85.64,-16.31,-21.29
비지배주주순이익,1.25,1.10,-11.28,-2.04,0.03
