IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,242.82,243.46,276.84,0.0,0.0
매출원가,194.47,189.38,225.99,0.0,0.0
매출총이익,48.34,54.08,50.85,0.0,0.0
판매비와관리비,30.18,46.02,44.78,0.0,0.0
인건비,15.09,14.47,15.19,0.0,0.0
유무형자산상각비,1.78,6.57,6.26,0.0,0.0
연구개발비,0.47,0.0,0.0,0.0,0.0
광고선전비,0.05,0.01,0.09,0.0,0.0
판매비,1.60,1.78,1.79,0.0,0.0
관리비,9.15,20.40,20.07,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,2.04,2.78,1.39,0.0,0.0
영업이익,18.16,8.06,6.07,0.0,0.0
영업이익(발표기준),18.16,8.06,6.07,0.0,0.0
금융수익,2.28,1.88,49.66,0.0,0.0
이자수익,2.29,1.83,2.88,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.05,0.01,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,46.77,0.0,0.0
기타금융수익,-0.02,0.0,0.0,0.0,0.0
금융원가,6.22,10.55,21.00,0.0,0.0
이자비용,6.32,10.05,20.94,0.0,0.0
외환손실,0.0,0.0,0.00,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.50,0.05,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,-0.09,0.0,0.0,0.0,0.0
기타수익,5.34,31.17,4.16,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.04,0.30,2.48,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.01,0.09,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,5.29,30.78,1.67,0.0,0.0
기타비용,6.64,0.96,1.74,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.58,0.87,0.22,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.02,0.03,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,2.27,0.0,1.42,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.79,0.07,0.06,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,12.91,29.60,37.14,0.0,0.0
법인세비용,0.99,0.14,11.95,0.0,0.0
계속영업이익,11.92,29.46,25.19,0.0,0.0
중단영업이익,-16.73,0.0,0.0,0.0,0.0
당기순이익,-4.81,29.46,25.19,0.0,0.0
지배주주순이익,-4.81,29.46,25.19,0.0,0.0
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
