IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,781.93","2,869.10","3,854.34",776.63,916.02
매출원가,"2,470.96","1,885.41","2,616.42",505.67,634.10
매출총이익,"1,310.97",983.68,"1,237.92",270.96,281.92
판매비와관리비,707.60,656.65,740.08,192.60,181.76
인건비,130.42,118.95,126.01,35.27,36.38
유무형자산상각비,21.82,22.17,20.44,5.23,5.05
연구개발비,394.76,393.07,453.07,119.23,97.45
광고선전비,1.46,1.10,1.48,0.56,0.46
판매비,38.58,17.64,21.50,6.50,15.95
관리비,114.96,95.76,110.13,24.27,24.75
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,5.60,7.94,7.45,1.55,1.72
영업이익,603.37,327.04,497.83,78.35,100.16
영업이익(발표기준),603.37,327.04,497.83,78.35,100.16
금융수익,37.68,92.73,100.73,24.68,24.43
이자수익,37.68,92.73,100.73,24.68,24.43
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,1.34,2.06,1.90,0.37,0.54
이자비용,1.34,2.06,1.90,0.37,0.54
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,136.65,32.32,129.20,34.48,41.47
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,90.05,23.45,119.82,33.75,35.44
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,36.65,0.19,4.90,0.0,4.69
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.84,1.31,0.39,0.63
파생상품이익,2.23,0.44,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,7.71,7.40,3.17,0.33,0.71
기타비용,71.43,20.88,61.71,38.77,18.08
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,39.82,12.00,34.35,35.83,2.70
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,10.13,0.51,1.66,2.82,0.30
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,1.02,0.23,0.08,0.0,0.0
파생상품손실,15.24,4.50,22.50,0.11,12.01
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,5.23,3.64,3.11,0.0,3.07
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,704.92,429.15,664.15,98.37,147.44
법인세비용,151.06,112.15,137.29,20.08,30.15
계속영업이익,553.86,317.01,526.86,78.28,117.29
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,553.86,317.01,526.86,78.28,117.29
