IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,1.30,2.67,5.90,3.69,1.39
매출원가,0.39,0.62,1.69,0.84,0.34
매출총이익,0.91,2.05,4.22,2.85,1.05
판매비와관리비,162.47,170.17,127.50,19.75,27.14
인건비,55.82,43.16,37.93,7.19,10.69
유무형자산상각비,12.62,12.77,11.52,2.39,3.00
연구개발비,79.31,95.19,56.45,3.89,8.68
광고선전비,0.02,0.00,0.0,0.0,0.0
판매비,0.0,0.0,0.0,0.0,0.0
관리비,14.60,18.98,21.40,6.28,4.74
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.10,0.07,0.19,0.01,0.02
영업이익,-161.56,-168.12,-123.28,-16.90,-26.09
영업이익(발표기준),-161.56,-168.12,-123.28,-16.90,-26.09
금융수익,25.54,11.66,17.85,0.21,1.39
이자수익,4.19,6.18,3.97,0.18,1.21
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.04,0.04
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.00,0.14,0.0,0.14
기타금융수익,21.36,5.48,13.74,0.0,0.0
금융원가,24.29,3.01,7.67,0.10,0.13
이자비용,13.50,2.35,0.47,0.10,0.13
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,5.36,0.65,7.19,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,5.43,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,6.82,8.33,2.42,0.66,0.29
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,6.51,1.36,2.21,0.27,0.13
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.18,6.33,0.0,0.34,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.39,0.04,0.0,0.0
기타,0.13,0.25,0.18,0.05,0.15
기타비용,5.64,1.25,7.12,0.09,0.75
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,5.14,0.98,0.95,0.06,0.75
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.50,0.05,0.0,0.03,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,3.63,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,1.75,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.22,0.79,0.0,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-4.10,-5.46,0.0
지분법손익,0.0,0.0,-4.10,-5.46,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-159.13,-152.38,-121.89,-21.68,-25.30
법인세비용,0.01,0.01,0.01,0.0,0.0
계속영업이익,-159.14,-152.39,-121.90,-21.68,-25.30
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-159.14,-152.39,-121.90,-21.68,-25.30
지배주주순이익,-158.81,-152.35,-121.90,-21.68,-25.30
비지배주주순이익,-0.33,-0.04,0.0,0.0,0.0
