IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,481.12,309.03,342.21,73.59,90.80
매출원가,378.91,293.74,323.44,69.21,80.28
매출총이익,102.21,15.29,18.77,4.38,10.52
판매비와관리비,37.72,38.90,48.16,14.77,10.25
인건비,18.26,18.62,21.69,6.62,4.69
유무형자산상각비,2.40,1.90,3.19,1.59,0.51
연구개발비,2.60,0.96,3.30,0.88,0.92
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,1.93,4.17,5.53,0.60,0.54
관리비,7.21,7.61,8.01,2.62,2.07
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,5.32,5.63,6.44,2.46,1.52
영업이익,64.49,-23.61,-29.39,-10.39,0.28
영업이익(발표기준),64.49,-23.61,-29.39,-10.39,0.28
금융수익,0.11,0.84,15.87,0.13,0.14
이자수익,0.11,0.84,1.49,0.13,0.14
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,14.38,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,5.74,5.06,12.58,3.27,0.44
이자비용,5.74,5.06,8.34,3.27,0.44
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,4.24,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,7.79,4.18,7.14,0.49,1.48
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,3.69,1.40,2.50,0.18,0.66
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.16,0.10,0.89,0.0,0.02
자산평가이익,0.13,0.02,0.04,0.00,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.72,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.10,2.66,3.71,0.31,0.80
기타비용,5.59,1.91,8.60,0.90,0.21
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,4.18,0.76,0.19,0.10,0.01
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.18,0.09,0.43,0.0
자산평가손실,0.37,0.13,0.34,0.07,0.07
자산손상차손,0.0,0.0,7.38,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.04,0.84,0.61,0.30,0.14
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-7.71,0.0,-1.29
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,-7.71,0.0,-1.29
세전계속사업이익,61.06,-25.56,-35.27,-13.95,-0.05
법인세비용,9.84,-6.83,0.20,0.0,0.29
계속영업이익,51.22,-18.73,-35.48,-13.95,-0.34
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,51.22,-18.73,-35.48,-13.95,-0.34
지배주주순이익,0.0,-18.73,-31.95,-13.02,-0.34
비지배주주순이익,0.0,0.0,-3.53,-0.93,0.0
