IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,0.0,16.16,29.05,1.09,0.67
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,0.0,16.16,29.05,1.09,0.67
판매비와관리비,94.61,190.06,126.95,35.18,44.40
인건비,9.35,10.05,10.82,3.20,2.54
유무형자산상각비,3.40,2.93,2.66,0.59,0.71
연구개발비,73.54,171.98,108.16,29.04,39.46
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.57,0.00,0.0,0.0,0.0
관리비,7.74,5.11,5.31,2.34,1.68
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-94.61,-173.90,-97.90,-34.09,-43.73
영업이익(발표기준),-94.61,-173.90,-97.90,-34.09,-43.73
금융수익,8.12,7.95,6.10,1.25,1.59
이자수익,8.05,6.73,5.75,1.25,1.20
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.07,0.56,0.19,0.01,0.11
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.16,0.0,0.28
금융자산평가이익,0.0,0.66,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.50,1.77,7.37,0.86,1.27
이자비용,0.03,0.61,3.15,0.65,0.84
외환손실,0.30,1.13,4.19,0.20,0.43
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.12,0.0,0.0,0.0,0.0
금융자산평가손실,0.06,0.03,0.03,0.01,0.01
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.48,0.60,0.08,0.00,0.13
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.48,0.60,0.08,0.00,0.13
기타비용,0.16,0.64,0.04,0.00,0.04
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.32,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.16,0.32,0.04,0.00,0.04
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-86.67,-167.75,-99.13,-33.70,-43.33
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-86.67,-167.75,-99.13,-33.70,-43.33
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-86.67,-167.75,-99.13,-33.70,-43.33
