IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,30.24,1.00,0.02,0.09,0.0
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,30.24,1.00,0.02,0.09,0.0
판매비와관리비,465.25,404.49,190.11,49.88,54.93
인건비,105.28,109.39,69.32,13.57,19.71
유무형자산상각비,10.78,14.24,14.32,3.58,3.71
연구개발비,320.93,252.99,88.25,29.06,25.27
광고선전비,0.28,0.31,0.05,0.00,0.00
판매비,1.89,0.15,0.13,0.01,0.04
관리비,26.09,26.74,18.03,3.59,6.21
기타원가성비용,0.0,0.0,0.01,0.06,0.0
기타,0.0,0.67,0.0,0.0,0.0
영업이익,-435.01,-403.49,-190.08,-49.79,-54.93
영업이익(발표기준),-435.01,-403.49,-190.08,-49.79,-54.93
금융수익,24.03,13.78,6.33,1.92,1.42
이자수익,9.51,10.34,4.21,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.59,3.13,0.42,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.28,0.0,0.0
금융자산평가이익,0.51,0.31,1.42,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,11.42,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,1.92,1.42
금융원가,6.04,35.13,10.23,1.17,1.20
이자비용,0.65,1.71,1.89,0.0,0.0
외환손실,4.63,1.73,1.61,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,9.60,6.63,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,22.10,0.11,0.0,0.0
기타금융원가,0.76,0.0,0.0,1.17,1.20
기타수익,0.04,0.31,0.12,0.01,0.02
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.01,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.04,0.31,0.11,0.01,0.02
기타비용,0.02,0.02,5.46,0.22,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.24,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,5.21,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.02,0.02,0.01,0.22,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-417.00,-424.55,-199.33,-49.26,-54.70
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-417.00,-424.55,-199.33,-49.26,-54.70
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-417.00,-424.55,-199.33,-49.26,-54.70
지배주주순이익,-417.00,-423.21,-197.56,-48.83,-53.71
비지배주주순이익,0.0,-1.34,-1.77,-0.42,-1.00
