IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,406.20,423.09,500.88,100.65,115.17
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,406.20,423.09,500.88,100.65,115.17
판매비와관리비,584.81,683.69,673.81,143.09,162.00
인건비,216.11,253.41,236.70,60.13,63.23
유무형자산상각비,55.96,75.98,75.24,18.53,18.92
연구개발비,45.24,74.61,76.80,7.78,19.49
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.0,0.0,0.0,0.0,0.0
관리비,155.41,213.99,216.06,51.32,53.88
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,112.08,65.70,69.01,5.33,6.47
영업이익,-178.61,-260.59,-172.93,-42.44,-46.83
영업이익(발표기준),-178.61,-260.59,-172.93,-42.44,-46.83
금융수익,58.04,39.16,33.00,4.97,7.71
이자수익,16.14,31.54,19.57,3.92,6.04
배당금수익,0.0,0.0,0.0,0.01,0.0
외환이익,0.35,0.69,5.69,0.15,1.28
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,24.59,5.21,1.29,0.16,0.14
금융자산평가이익,16.96,1.73,6.45,0.73,0.25
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,6.97,17.84,78.68,0.98,2.05
이자비용,2.80,4.90,4.83,0.85,1.16
외환손실,0.37,0.56,0.16,0.12,0.07
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.03,0.04,0.10,0.00,0.0
금융자산평가손실,3.77,12.35,73.59,0.0,0.82
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.80,2.73,6.07,0.55,0.45
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,0.21,1.52,0.31,0.10
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.41,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,1.02,1.04,0.91,0.24,0.22
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.78,1.07,3.64,0.00,0.13
기타비용,1.51,14.92,71.30,0.26,0.05
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.05,0.01,0.73,0.27,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.41,14.47,70.37,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.46,0.0,0.0,-0.02,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.59,0.45,0.20,0.01,0.05
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-127.25,-251.46,-283.85,-38.16,-40.78
법인세비용,-0.49,0.16,-1.01,-0.24,-0.12
계속영업이익,-126.76,-251.62,-282.84,-37.93,-40.66
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-126.76,-251.62,-282.84,-37.93,-40.66
지배주주순이익,-122.72,-246.08,-270.52,-36.17,-38.84
비지배주주순이익,-4.04,-5.54,-12.31,-1.75,-1.82
