IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,93.94,137.62,135.76,0.0,0.0
매출원가,25.72,37.31,51.13,0.0,0.0
매출총이익,68.22,100.31,84.63,0.0,0.0
판매비와관리비,91.92,83.90,102.28,0.0,0.0
인건비,38.67,28.30,40.64,0.0,0.0
유무형자산상각비,6.33,7.55,12.45,0.0,0.0
연구개발비,13.57,10.88,18.29,0.0,0.0
광고선전비,0.21,1.15,0.74,0.0,0.0
판매비,12.38,15.93,5.80,0.0,0.0
관리비,20.77,20.09,24.37,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-23.70,16.42,-17.65,0.0,0.0
영업이익(발표기준),-23.70,16.42,-17.65,0.0,0.0
금융수익,1.16,0.45,0.62,0.0,0.0
이자수익,0.30,0.14,0.24,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.01,0.29,0.38,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.85,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.03,0.0,0.0,0.0
금융원가,6.92,5.45,3.23,0.0,0.0
이자비용,5.00,3.70,3.13,0.0,0.0
외환손실,0.20,0.11,0.10,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.02,0.0,0.0,0.0
금융자산처분손실,0.0,1.62,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,1.73,0.0,0.0,0.0,0.0
기타수익,0.81,0.14,0.12,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.81,0.14,0.12,0.0,0.0
기타비용,2.04,0.52,0.47,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.02,0.15,0.31,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,1.80,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.22,0.37,0.16,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-30.70,11.05,-20.62,0.0,0.0
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-30.70,11.05,-20.62,0.0,0.0
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-30.70,11.05,-20.62,0.0,0.0
