IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,172.02","1,540.80","1,241.29",234.18,360.40
매출원가,"1,494.76","1,057.54",909.20,182.70,257.67
매출총이익,677.26,483.26,332.08,51.48,102.73
판매비와관리비,698.12,590.27,506.35,72.82,141.51
인건비,137.13,118.04,102.49,19.65,26.86
유무형자산상각비,21.18,15.35,23.28,5.89,2.82
연구개발비,15.17,14.21,14.19,0.58,4.36
광고선전비,156.55,103.71,77.64,21.97,29.50
판매비,191.92,168.35,144.21,0.08,39.23
관리비,136.26,143.59,115.33,17.80,31.67
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,39.91,27.01,29.21,6.86,7.08
영업이익,-20.86,-107.01,-174.26,-21.35,-38.78
영업이익(발표기준),-20.86,-107.01,-174.26,-21.35,-38.78
금융수익,10.92,18.77,15.35,9.21,1.74
이자수익,5.58,4.17,2.32,0.41,1.66
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,5.19,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,5.34,14.60,7.83,8.80,0.08
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,12.19,31.04,54.58,17.76,5.78
이자비용,8.59,23.59,41.52,9.94,5.78
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,1.75,2.40,1.05,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,1.85,5.04,12.01,7.83,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,8.12,4.29,10.81,1.71,0.90
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,4.27,3.61,1.30,0.04,0.62
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.31,0.00,0.33,0.14,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.05,0.0,8.51,1.50,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.48,0.68,0.67,0.03,0.28
기타비용,15.06,15.51,39.09,1.45,4.79
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,2.74,3.40,0.25,0.04,0.04
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.71,0.0,2.89,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.26,0.25,2.80,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,11.35,11.86,33.15,1.41,4.75
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-29.06,-130.49,-241.77,-29.64,-46.71
법인세비용,4.38,-4.29,13.70,0.03,0.0
계속영업이익,-33.45,-126.20,-255.47,-29.67,-46.71
중단영업이익,0.0,-73.73,-199.25,0.77,-38.81
당기순이익,-33.45,-199.93,-454.73,-28.90,-85.52
지배주주순이익,-33.05,-199.03,-451.43,-28.88,-84.28
비지배주주순이익,-0.40,-0.90,-3.29,-0.02,-1.24
