IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,0.48,3.24,33.61,3.83,6.37
매출원가,0.0,2.45,30.74,3.59,5.62
매출총이익,0.48,0.78,2.87,0.23,0.75
판매비와관리비,95.55,164.52,191.41,26.55,31.86
인건비,16.25,18.80,22.38,5.21,5.10
유무형자산상각비,4.85,5.39,5.31,1.35,1.34
연구개발비,61.97,123.80,145.91,15.16,18.75
광고선전비,0.07,0.03,0.09,0.07,0.02
판매비,0.03,0.04,0.04,0.01,0.01
관리비,12.38,16.46,17.67,4.76,6.63
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-95.07,-163.74,-188.54,-26.31,-31.11
영업이익(발표기준),-95.07,-163.74,-188.54,-26.31,-31.11
금융수익,16.13,57.57,52.12,5.39,7.34
이자수익,15.72,19.84,20.13,3.37,5.94
배당금수익,0.0,0.0,2.83,0.0,0.0
외환이익,0.39,0.98,0.50,0.55,0.15
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,1.31,0.0,0.81
금융자산평가이익,0.02,12.37,6.78,1.47,0.44
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,24.37,20.57,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,27.14,35.47,117.15,6.46,15.66
이자비용,0.04,11.83,34.01,4.85,9.07
외환손실,0.54,1.27,3.02,0.09,0.06
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,1.59,0.0,0.0,0.0,0.0
금융자산평가손실,24.96,14.82,12.61,1.52,6.53
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,7.55,67.51,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.02,0.80,1.15,0.17,0.32
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.66,0.78,1.11,0.17,0.31
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.36,0.03,0.04,0.0,0.01
기타비용,0.60,6.04,23.96,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,5.30,18.61,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.60,0.74,5.35,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,-0.04,-1.64,1.42,-0.56
지분법손익,0.0,-0.04,-1.64,1.42,-0.56
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-105.65,-146.92,-278.03,-25.79,-39.67
법인세비용,0.0,-26.30,15.75,0.0,0.0
계속영업이익,-105.65,-120.62,-293.78,-25.79,-39.67
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-105.65,-120.62,-293.78,-25.79,-39.67
지배주주순이익,-105.65,-120.62,-293.78,-25.79,-39.67
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
