IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,67.08,65.89,50.31,9.70,12.09
매출원가,71.93,84.52,75.12,17.14,20.00
매출총이익,-4.85,-18.63,-24.81,-7.45,-7.91
판매비와관리비,337.90,375.04,585.28,951.36,73.92
인건비,125.13,139.95,84.55,10.29,17.88
유무형자산상각비,22.35,34.47,40.17,22.30,6.64
연구개발비,59.50,81.71,49.64,3.98,14.60
광고선전비,3.61,1.49,1.04,0.23,0.0
판매비,4.17,0.86,1.75,0.00,-0.20
관리비,123.14,116.56,408.13,914.55,35.01
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-342.75,-393.67,-610.10,-958.80,-81.84
영업이익(발표기준),-342.75,-393.67,-610.10,-958.80,-81.84
금융수익,94.98,31.64,42.71,7.81,5.53
이자수익,8.89,20.74,7.81,5.75,2.74
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,73.84,6.84,3.94,1.87,2.64
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,11.05,0.0,0.04,0.0,0.0
금융자산평가이익,1.19,4.06,0.71,0.18,0.15
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,30.22,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,49.23,173.52,63.87,2.43,8.92
이자비용,18.61,75.02,47.77,1.99,7.86
외환손실,20.81,3.47,8.70,0.44,0.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,7.64,0.60,0.0,0.0,1.05
금융자산평가손실,2.16,0.0,7.40,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,69.98,0.0,0.0,0.0
기타금융원가,0.0,24.46,0.0,0.0,0.0
기타수익,2.80,3.09,3.48,0.08,0.94
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.14,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,0.01,0.00,0.01,0.00
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.80,2.94,3.48,0.07,0.94
기타비용,13.76,3.68,3.59,3.86,0.80
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.21,3.41,0.18,0.43,0.16
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.00,0.70,0.0,0.64
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,13.08,0.10,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.46,0.16,2.71,3.42,0.00
"종속기업,공동지배기업및관계기업관련손익",-5.02,-87.01,-15.89,-2.57,-2.62
지분법손익,-5.02,-87.01,-15.89,-2.57,-2.62
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-312.98,-623.15,-647.26,-959.77,-87.70
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-312.98,-623.15,-647.26,-959.77,-87.70
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-312.98,-623.15,-647.26,-959.77,-87.70
지배주주순이익,-307.11,-619.36,-626.18,-940.78,-85.32
비지배주주순이익,-5.86,-3.80,-21.08,-18.99,-2.38
