IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"4,049.93","8,904.40","10,067.63","2,495.76","2,722.42"
매출원가,"4,455.07","6,765.57","7,967.47","1,941.02","1,854.25"
매출총이익,-405.14,"2,138.84","2,100.15",554.75,868.17
판매비와관리비,407.94,541.29,637.35,153.21,158.77
인건비,66.73,77.72,97.66,27.45,20.82
유무형자산상각비,33.85,28.31,24.29,5.71,6.50
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,4.99,11.36,19.51,4.83,5.39
판매비,0.68,1.46,1.70,0.32,0.39
관리비,264.46,380.56,442.47,101.22,114.20
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,37.23,41.88,51.71,13.68,11.47
영업이익,-813.08,"1,597.54","1,462.80",401.54,709.40
영업이익(발표기준),-813.08,"1,597.54","1,462.80",401.54,709.40
금융수익,16.65,73.71,77.79,11.16,17.30
이자수익,16.65,73.71,77.79,11.16,17.30
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,398.34,451.49,555.81,143.25,133.85
이자비용,398.34,451.49,555.81,143.25,133.85
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,212.35,124.83,167.24,177.89,43.77
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,133.72,116.76,134.86,48.70,38.76
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.01,0.94,0.06,78.59,0.02
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,78.63,7.13,32.32,50.60,4.99
기타비용,548.91,267.92,"1,116.55",43.81,338.12
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,544.43,232.52,"1,087.02",33.22,338.07
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.08,34.56,28.42,0.01,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,4.40,0.85,1.10,10.59,0.04
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"-1,531.33","1,076.68",35.48,403.52,298.51
법인세비용,-27.33,35.23,11.30,81.65,71.18
계속영업이익,"-1,504.01","1,041.45",24.18,321.87,227.33
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"-1,504.01","1,041.45",24.18,321.87,227.33
