IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,434.24,632.90,888.03,169.17,164.11
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,434.24,632.90,888.03,169.17,164.11
판매비와관리비,337.56,518.17,809.13,190.06,182.70
인건비,180.04,264.84,428.25,105.88,100.62
유무형자산상각비,13.64,20.91,35.69,9.20,8.19
연구개발비,29.22,36.62,55.77,20.65,15.42
광고선전비,1.79,2.79,3.24,0.52,1.36
판매비,1.12,0.29,2.17,-0.75,1.83
관리비,111.75,192.71,284.00,54.56,55.29
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,96.68,114.73,78.91,-20.89,-18.59
영업이익(발표기준),96.68,114.73,78.91,-20.89,-18.59
금융수익,7.45,56.83,67.46,6.39,4.92
이자수익,6.18,16.76,15.06,4.27,4.00
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.36,0.35,1.50,0.04,0.45
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.12,0.0,0.98,0.68,0.00
금융자산평가이익,0.16,0.31,2.50,1.42,0.47
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,39.37,47.43,0.0,0.0
기타금융수익,0.63,0.03,0.0,0.0,0.0
금융원가,1.26,30.01,44.07,6.61,7.73
이자비용,0.42,17.57,19.24,4.35,5.07
외환손실,0.21,0.24,0.02,0.02,0.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.00,0.00,0.02,0.0,0.02
금융자산평가손실,0.00,0.0,2.04,0.02,0.39
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,12.17,22.75,2.22,2.24
기타금융원가,0.63,0.03,0.0,0.0,0.0
기타수익,4.17,1.78,2.02,0.20,0.03
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.44,0.11,0.04,0.0,0.00
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.01,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.72,1.67,1.97,0.20,0.03
기타비용,1.92,75.47,0.98,0.08,0.13
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.86,0.01,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,1.43,-1.43,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.49,76.04,0.97,0.08,0.13
"종속기업,공동지배기업및관계기업관련손익",-0.79,-0.42,0.33,0.26,0.03
지분법손익,-0.79,-0.42,0.33,0.26,0.03
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,104.33,67.42,103.67,-20.73,-21.46
법인세비용,9.75,9.10,2.89,0.80,-4.13
계속영업이익,94.57,58.33,100.78,-21.53,-17.33
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,94.57,58.33,100.78,-21.53,-17.33
지배주주순이익,94.48,50.58,108.06,-8.17,-7.41
비지배주주순이익,0.10,7.74,-7.28,-13.36,-9.92
