GAAP(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,37.84,31.60,28.18,0.0,0.0
매출원가,17.63,11.95,10.30,0.0,0.0
매출총이익,20.21,19.65,17.88,0.0,0.0
판매비와관리비,22.89,22.91,20.57,0.0,0.0
인건비,6.57,5.73,5.21,0.0,0.0
유무형자산상각비,0.95,1.49,1.21,0.0,0.0
연구개발비,0.27,0.34,0.37,0.0,0.0
광고선전비,6.67,7.19,5.60,0.0,0.0
판매비,4.86,4.15,2.41,0.0,0.0
관리비,2.61,3.00,4.89,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.97,1.01,0.88,0.0,0.0
영업이익,-2.68,-3.26,-2.69,0.0,0.0
영업이익(발표기준),-2.68,-3.26,-2.69,0.0,0.0
금융수익,0.30,0.62,0.37,0.0,0.0
이자수익,0.30,0.62,0.37,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,1.03,1.26,0.87,0.0,0.0
이자비용,1.03,1.22,0.87,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.05,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.76,1.54,0.44,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.44,0.19,0.08,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.03,0.64,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.29,0.71,0.35,0.0,0.0
기타비용,0.41,0.16,0.30,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.25,0.07,0.05,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.16,0.09,0.26,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",-1.14,-0.73,-0.38,0.0,0.0
지분법손익,-1.14,-0.73,-0.38,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-4.20,-3.25,-3.44,0.0,0.0
법인세비용,0.39,0.0,0.0,0.0,0.0
계속영업이익,-4.58,-3.25,-3.44,0.0,0.0
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-4.58,-3.25,-3.44,0.0,0.0
