IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"4,567.26","3,695.06","2,675.45","1,545.58",222.71
매출원가,"2,171.15","2,272.63","2,365.69","1,284.24",168.74
매출총이익,"2,396.11","1,422.43",309.76,261.34,53.96
판매비와관리비,"1,245.97","1,542.31","1,694.07",412.60,334.98
인건비,343.42,353.40,452.30,148.60,89.56
유무형자산상각비,38.65,58.39,89.10,36.41,16.86
연구개발비,579.60,857.43,713.53,119.97,172.74
광고선전비,11.90,18.49,22.93,7.80,4.71
판매비,1.63,1.96,8.30,2.91,0.72
관리비,269.02,250.02,404.70,96.43,49.47
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.76,2.60,3.22,0.47,0.91
영업이익,"1,150.14",-119.88,"-1,384.31",-151.26,-281.02
영업이익(발표기준),"1,150.14",-119.88,"-1,384.31",-151.26,-281.02
금융수익,"1,166.09",902.07,455.32,124.96,106.51
이자수익,48.54,135.55,69.78,29.77,14.84
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,370.88,267.71,101.05,15.84,19.08
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,455.97,142.87,167.60,13.66,28.18
금융자산평가이익,0.0,55.45,94.88,37.87,43.93
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,290.70,300.49,22.02,27.82,0.48
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,854.43,708.97,216.99,116.72,26.81
이자비용,24.61,13.98,36.85,24.19,2.62
외환손실,205.82,134.46,69.68,71.19,1.58
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,25.19,60.55,20.85,0.0,0.0
금융자산평가손실,62.03,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,536.79,499.98,89.61,21.35,22.62
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,17.02,58.89,317.13,13.67,10.95
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.20,0.07,149.30,0.00,0.06
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.55,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,16.82,58.82,167.83,13.12,10.89
기타비용,61.48,58.84,62.22,8.67,7.68
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,4.54,0.75,6.70,1.09,0.07
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,11.54,0.01,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,56.93,46.56,55.50,7.58,7.61
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"1,417.33",73.27,-891.07,-138.02,-198.06
법인세비용,192.81,-149.90,-389.90,-97.31,-60.88
계속영업이익,"1,224.52",223.18,-501.17,-40.71,-137.18
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"1,224.52",223.18,-501.17,-40.71,-137.18
지배주주순이익,"1,224.52",223.18,-538.81,-74.66,-137.18
비지배주주순이익,0.0,0.0,37.64,33.94,0.0
