IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,764.16,840.33,867.76,93.92,101.74
매출원가,517.87,561.86,537.81,52.21,66.34
매출총이익,246.29,278.47,329.95,41.72,35.41
판매비와관리비,242.16,272.12,349.29,78.06,96.07
인건비,75.10,101.48,109.81,23.68,33.33
유무형자산상각비,19.03,21.69,26.96,6.98,6.27
연구개발비,43.50,45.33,74.29,20.17,21.47
광고선전비,8.87,4.24,3.61,2.03,2.80
판매비,1.99,4.69,5.33,-0.01,0.44
관리비,87.02,89.22,120.35,22.87,28.90
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,6.65,5.47,8.95,2.36,2.87
영업이익,4.13,6.36,-19.34,-36.35,-60.66
영업이익(발표기준),4.13,6.36,-19.34,-36.35,-60.66
금융수익,5.85,7.09,5.30,2.01,1.58
이자수익,5.01,6.43,4.92,1.38,1.29
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.00,0.05,0.32,0.03,0.23
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.83,0.55,0.0,0.0,0.0
금융자산평가이익,0.0,0.05,0.06,0.60,0.06
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,1.97,2.32,2.52,1.33,0.54
이자비용,1.80,1.84,2.28,1.29,0.43
외환손실,0.04,0.41,0.10,0.04,0.04
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.14,0.06,0.07,0.01,0.00
금융자산평가손실,0.00,0.0,0.07,0.0,0.07
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.12,0.30,0.80,0.02,0.02
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.09,0.00,0.04,0.0,0.01
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.18,0.0,0.01
충당부채환입액,0.51,0.0,0.0,0.0,0.0
기타,0.52,0.30,0.57,0.02,0.01
기타비용,3.49,0.79,0.52,0.02,0.28
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,1.93,0.30,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.67,0.09,0.07,0.0,0.07
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.51,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.38,0.40,0.45,0.02,0.21
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,5.63,10.65,-16.29,-35.67,-59.89
법인세비용,0.0,0.38,-0.85,-0.10,-0.08
계속영업이익,5.63,10.27,-15.43,-35.57,-59.81
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,5.63,10.27,-15.43,-35.57,-59.81
지배주주순이익,5.63,10.27,-15.43,-35.57,-59.81
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
