IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,121.13,131.08,137.34,44.62,26.07
매출원가,60.02,65.55,70.27,22.42,13.64
매출총이익,61.11,65.54,67.07,22.20,12.43
판매비와관리비,98.59,125.42,121.53,39.12,29.97
인건비,23.09,25.38,28.72,7.11,6.58
유무형자산상각비,3.06,4.45,6.22,1.66,1.98
연구개발비,54.89,65.08,58.50,22.06,12.75
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-1.60,1.75,0.16,0.13,-0.22
관리비,6.86,12.66,11.81,2.88,3.74
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,12.29,16.10,16.11,5.28,5.14
영업이익,-37.48,-59.88,-54.45,-16.91,-17.54
영업이익(발표기준),-37.48,-59.88,-54.45,-16.91,-17.54
금융수익,2.79,6.26,8.25,2.45,1.54
이자수익,1.47,2.66,3.10,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.00,0.82,1.08,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.17,0.80,0.51,0.0,0.0
금융자산평가이익,0.07,0.12,0.25,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.09,0.0,0.0,0.0,0.0
기타금융수익,0.0,1.86,3.30,2.45,1.54
금융원가,17.78,37.33,11.90,3.90,2.08
이자비용,7.27,8.84,7.95,0.0,0.0
외환손실,0.82,0.42,0.24,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,9.68,0.0,0.0,0.0,0.0
기타금융원가,0.0,28.07,3.70,3.90,2.08
기타수익,0.41,0.79,0.66,0.04,0.43
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.22,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.00,0.00,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.41,0.57,0.66,0.04,0.43
기타비용,0.04,1.19,0.13,0.00,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.17,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.04,0.01,-0.04,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,1.01,0.16,0.00,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-52.10,-91.34,-57.57,-18.33,-17.65
법인세비용,-4.55,1.23,0.64,0.0,0.0
계속영업이익,-47.55,-92.58,-58.21,-18.33,-17.65
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-47.55,-92.58,-58.21,-18.33,-17.65
지배주주순이익,-63.27,-103.21,-66.91,-22.68,-18.82
비지배주주순이익,15.72,10.63,8.70,4.35,1.17
