IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,44.45,44.53,37.32,7.80,7.44
매출원가,30.89,30.48,23.80,7.60,5.83
매출총이익,13.56,14.05,13.51,0.20,1.62
판매비와관리비,130.53,166.52,128.53,26.12,34.21
인건비,21.86,35.11,33.51,6.20,9.48
유무형자산상각비,7.69,8.15,8.66,2.15,2.16
연구개발비,33.90,51.60,34.57,9.10,9.84
광고선전비,28.79,29.03,6.81,0.23,1.57
판매비,0.42,0.28,4.34,-0.13,0.12
관리비,37.75,42.16,40.43,8.53,10.99
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.12,0.19,0.21,0.03,0.04
영업이익,-116.97,-152.48,-115.01,-25.93,-32.59
영업이익(발표기준),-116.97,-152.48,-115.01,-25.93,-32.59
금융수익,43.56,37.83,22.58,0.63,0.67
이자수익,5.33,3.77,2.48,0.63,0.46
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.67,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,38.23,34.06,19.22,0.0,0.0
기타금융수익,0.0,0.0,0.21,0.0,0.21
금융원가,68.26,49.28,19.84,5.16,0.98
이자비용,29.79,23.99,10.70,5.16,0.98
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,3.95,5.01,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,38.48,11.08,3.49,0.0,0.0
기타금융원가,0.0,10.25,0.64,0.0,0.0
기타수익,1.76,0.14,1.76,0.12,0.75
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.25,0.03,0.03,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.18,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.11,0.05,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.22,0.06,1.73,0.12,0.75
기타비용,1.75,0.69,1.33,0.02,0.03
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.10,0.38,0.00,0.02,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.01,0.00,0.04,0.00,0.03
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.65,0.31,1.29,0.01,0.00
"종속기업,공동지배기업및관계기업관련손익",-8.36,-9.35,-9.88,-2.86,-3.20
지분법손익,-8.36,-9.35,-9.88,-2.86,-3.20
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-150.03,-173.82,-121.73,-33.21,-35.38
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-150.03,-173.82,-121.73,-33.21,-35.38
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-150.03,-173.82,-121.73,-33.21,-35.38
지배주주순이익,-143.03,-160.35,-109.13,-28.69,-31.65
비지배주주순이익,-7.00,-13.48,-12.60,-4.53,-3.73
