IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"18,018.35","18,609.05","18,094.33","3,788.61","4,557.45"
매출원가,"14,697.90","15,434.68","15,110.49","3,281.18","3,995.67"
매출총이익,"3,320.45","3,174.37","2,983.84",507.43,561.78
판매비와관리비,"1,168.79",855.26,954.75,251.62,244.16
인건비,293.45,286.09,277.16,72.69,69.68
유무형자산상각비,34.24,42.21,56.21,18.30,11.27
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,319.04,371.79,467.45,100.61,110.91
관리비,458.46,76.62,65.98,39.63,33.09
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,63.60,78.55,87.95,20.39,19.21
영업이익,"2,151.66","2,319.10","2,029.09",255.81,317.63
영업이익(발표기준),"2,151.66","2,319.10","2,029.09",255.81,317.63
금융수익,466.84,721.55,744.48,98.29,128.18
이자수익,56.49,86.23,48.97,0.0,0.0
배당금수익,0.63,0.94,0.65,0.0,0.0
외환이익,400.65,486.64,323.84,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,8.98,0.39,0.0,0.0
기타금융수익,0.0,0.0,0.0,98.29,128.18
금융원가,546.14,614.28,322.34,103.95,113.00
이자비용,70.34,98.81,78.88,0.0,0.0
외환손실,457.35,492.73,213.20,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,18.45,3.67,2.38,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,19.07,27.88,0.0,0.0
기타금융원가,0.0,0.0,0.0,103.95,113.00
기타수익,64.59,66.69,40.05,17.99,12.58
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.83,0.35,8.82,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,17.47,21.00,13.45,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,28.95,22.98,8.99,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,16.34,22.36,8.79,17.99,12.58
기타비용,26.78,64.83,19.62,0.89,3.27
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,10.71,7.19,1.75,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,39.79,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,16.07,17.85,17.87,0.89,3.27
"종속기업,공동지배기업및관계기업관련손익",1.29,-1.20,-2.57,-0.01,0.0
지분법손익,1.29,-1.20,-2.57,-0.01,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"2,111.46","2,427.03","2,469.08",267.24,342.12
법인세비용,518.51,538.69,"1,098.46",78.92,73.91
계속영업이익,"1,592.94","1,888.34","1,370.62",188.32,268.21
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"1,592.94","1,888.34","1,370.62",188.32,268.21
지배주주순이익,"1,592.94","1,888.34","1,370.62",188.32,268.21
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
